 	les	sangliers	ont	été	tués	dans	la	chasse	</S>
a	0.922223	0.0655594	0.0114152	0.000484597	2.72822e-05	5.92439e-05	0.00011094	0.000116115	4.39568e-06
n	0.191695	0.720847	0.071535	0.0123874	0.00075883	0.000842626	0.000402999	0.00104089	0.00049023
g	0.0467566	0.937319	0.0122475	0.00041392	6.40253e-05	0.000192888	0.000421365	0.000330374	0.00225388
o	0.0132814	0.982867	0.00329358	0.000102913	0.000111714	2.41531e-05	3.66008e-05	3.44455e-05	0.000247984
y	0.0633717	0.821777	0.081672	0.00436495	0.00193438	0.000477707	0.00201178	0.00240335	0.0219876
á	0.219422	0.308946	0.273882	0.0772543	0.0380525	0.00926681	0.00330013	0.00970597	0.0601709
á	0.111111	0.0262175	0.541434	0.263743	0.0096931	0.0254114	0.0116235	0.00167799	0.00908809
m	0.00369119	0.0201519	0.0708327	0.40474	0.263488	0.174952	0.0498536	0.00217688	0.0101141
i	0.00573075	0.00132472	0.0173359	0.119687	0.419786	0.29252	0.108941	0.00637582	0.0282992
w	0.000485553	0.00116371	0.00334838	0.112586	0.67463	0.146498	0.035755	0.00277065	0.0227625
á	0.00243471	0.00165439	0.00254289	0.0321363	0.436282	0.26415	0.166974	0.0329316	0.0608938
m	0.00253521	0.000455501	0.0142896	0.0497455	0.0934583	0.218636	0.245394	0.114026	0.26146
o	0.0142202	9.97373e-05	0.00213084	0.0211719	0.174922	0.126934	0.178049	0.214138	0.268334
y	0.00422539	0.000385106	0.000877664	0.0103416	0.0202933	0.0555931	0.0767226	0.52573	0.305831
ó	0.00344253	0.0107169	0.00607064	0.0251484	0.0730358	0.226897	0.369469	0.175869	0.10935
o	0.00043131	0.000720194	0.00184668	0.0071552	0.00912478	0.0517275	0.184226	0.371736	0.373032
</S>	0.000245179	0.000133873	0.000172912	0.00130542	0.00264443	0.122365	0.160642	0.181679	0.530813
