 	la	maman	sèche	les	habits	au	soleil	</S>
n	0.822503	0.0281813	0.0512797	0.0582506	0.0257587	0.0120633	0.00121369	0.000749905
g	0.220304	0.777067	0.000910893	0.00120008	0.000165512	0.000312534	3.28502e-05	6.61877e-06
ó	0.00907298	0.990507	0.000174235	0.00015131	3.97357e-05	2.74589e-05	2.52844e-05	1.65249e-06
o	0.0267383	0.969188	0.00188722	0.000945075	0.000361098	0.000131994	0.000511772	0.000236696
l	0.322518	0.0520377	0.34854	0.116487	0.0135895	0.036174	0.0246816	0.0859716
á	0.134524	0.110918	0.148101	0.0698524	0.0495421	0.0352965	0.0134453	0.43832
a	0.338825	0.00392699	0.320278	0.240295	0.0216995	0.02485	0.0357643	0.014362
w	0.0496893	0.037995	0.618683	0.138481	0.110522	0.00461643	0.00103873	0.0389744
ó	0.0103022	0.00266381	0.618973	0.175415	0.124912	0.00734684	0.00492881	0.0554582
m	0.00326255	0.00152834	0.718507	0.195197	0.0438713	0.00783273	0.000739923	0.0290609
b	0.131621	0.000634026	0.231238	0.326616	0.147855	0.106118	0.0422293	0.0136894
í	0.0313439	7.27407e-05	0.27926	0.328772	0.0669524	0.0954212	0.136363	0.0618138
s	0.0138007	4.11348e-05	0.208454	0.611993	0.0873152	0.0592925	0.00858075	0.0105226
á	0.00674849	2.14389e-05	0.169465	0.346937	0.317547	0.0541045	0.0261425	0.0790345
i	0.0286328	0.000535957	0.0646449	0.392167	0.302291	0.136448	0.0558904	0.0193891
k	0.00032161	8.79396e-05	0.0185302	0.0632366	0.872987	0.0233713	0.00195346	0.0195121
á	4.09959e-05	1.53441e-06	0.00932547	0.0223949	0.952534	0.00623437	0.000264759	0.00920387
n	0.00038978	7.91476e-06	0.0354092	0.0575586	0.851918	0.0206548	0.00266526	0.0313966
d	0.000216598	3.26442e-06	0.0266597	0.0579771	0.846389	0.0155535	0.00123016	0.0519709
á	0.00157046	4.02316e-05	0.126391	0.114209	0.43082	0.0338325	0.00699424	0.286143
ó	0.00724459	6.28875e-05	0.0384196	0.0905579	0.115639	0.517004	0.0332441	0.197829
m	0.00387166	0.000438177	0.0437131	0.0634974	0.0540689	0.645823	0.0557983	0.132789
w	0.000428857	0.00032767	0.0564054	0.0486843	0.0188561	0.465047	0.314111	0.0961403
é	0.000139664	5.37974e-06	9.24453e-05	0.000193073	0.000262095	0.00331316	0.994146	0.00184821
s	0.00043984	7.45865e-05	0.0091188	0.0255537	0.0245656	0.610026	0.254835	0.0753864
é	0.00257477	0.000126653	0.00813097	0.00772358	0.0136799	0.10669	0.616032	0.245043
</S>	0.00367754	6.85603e-05	0.0153979	0.0214329	0.0199389	0.197271	0.0320581	0.710155
