 	les	amis	se	moquent	de	lui	</S>
a	0.564751	0.385625	0.0385679	0.00583183	0.0045533	0.000608787	6.19389e-05
b	0.0238183	0.902303	0.0469817	0.0239272	0.00115929	0.000887905	0.000922973
i	0.0152108	0.879078	0.04127	0.0442812	0.00499204	0.00984513	0.00532266
a	0.0742534	0.768243	0.043192	0.0277314	0.00538006	0.00651192	0.0746881
b	0.149991	0.0475866	0.30535	0.0185623	0.0940523	0.0272141	0.357245
ó	0.0632526	0.0129298	0.303352	0.171631	0.274626	0.0569196	0.117289
b	0.143544	0.0293422	0.321368	0.0936576	0.20813	0.0405261	0.163432
á	0.339665	0.026198	0.251432	0.252074	0.0956028	0.0203614	0.0146668
a	0.281878	0.016498	0.339069	0.213749	0.098954	0.0225265	0.027326
k	0.00788418	0.0097836	0.227268	0.57634	0.0732118	0.0283071	0.0772051
a	0.00430177	0.0307446	0.120237	0.752764	0.0391654	0.0212525	0.0315339
n	0.00635217	0.0275575	0.111335	0.715244	0.037343	0.0179717	0.0841973
á	0.0552432	0.00587877	0.122357	0.673794	0.0658447	0.0173616	0.0595214
w	0.0346901	0.0020997	0.0527187	0.0794702	0.609931	0.153661	0.0674287
a	0.0611552	0.00336244	0.15533	0.313097	0.241904	0.18449	0.0406619
k	0.00336119	0.000573	0.0139631	0.0494488	0.299324	0.419383	0.213946
i	0.00492635	0.00558285	0.0390703	0.0781859	0.129553	0.615991	0.12669
s	0.000611398	0.00123611	0.0227167	0.0718617	0.0607724	0.35119	0.491612
a	0.00107314	0.000400946	0.019871	0.109634	0.143967	0.448965	0.276089
m	0.000959621	9.84067e-05	0.0047119	0.0139753	0.117164	0.139093	0.723998
w	0.0307892	0.000434364	0.00259536	0.020264	0.335931	0.329061	0.280926
ε	0.0981819	0.010433	0.0079499	0.22341	0.11053	0.32979	0.219704
</S>	0.00221392	0.000197873	0.00371203	0.10135	0.122221	0.257307	0.512998
