 	les	grillons	stridulent	dans	la	nuit	</S>
a	0.730579	0.210129	0.0423935	0.00782628	0.00744451	0.00144221	0.000185928
n	0.15209	0.643173	0.18959	0.00655161	0.0054479	0.00264526	0.000502034
d	0.0847787	0.63491	0.242753	0.0199238	0.0054486	0.00196252	0.0102235
z	0.0302974	0.623966	0.337859	0.00259355	0.000691749	0.00064215	0.00395009
έ	0.0478363	0.466823	0.460053	0.00567429	0.00375006	0.00276874	0.0130951
n	0.0312862	0.378441	0.579163	0.00447391	0.00192386	0.00105848	0.00365358
d	0.0472581	0.655073	0.227726	0.0121081	0.00645664	0.00141035	0.0499678
z	0.0989319	0.68126	0.18894	0.0104265	0.00314758	0.00020907	0.0170855
έ	0.0801013	0.247898	0.462749	0.0771675	0.0228128	0.00315597	0.106115
b	0.112664	0.0808101	0.0865879	0.612967	0.0761378	0.00318825	0.0276449
á	0.275758	0.062994	0.090337	0.274416	0.140681	0.0130151	0.142799
a	0.363256	0.0533501	0.0820085	0.340491	0.104581	0.0174352	0.0388781
y	0.0340077	0.120429	0.132165	0.330146	0.238525	0.0614676	0.0832588
έ	0.0348065	0.0582728	0.126504	0.491443	0.167942	0.0322861	0.0887451
n	0.00647501	0.0185389	0.103303	0.46207	0.211539	0.0294861	0.168587
d	0.0136067	0.068965	0.311965	0.357651	0.17353	0.0282474	0.0460339
z	0.0576575	0.131519	0.310293	0.299108	0.117756	0.0174646	0.0662016
έ	0.0124706	0.0416475	0.43565	0.285297	0.0753356	0.0120962	0.137503
l	0.00767635	0.0192021	0.0356052	0.517526	0.354717	0.0162287	0.0490438
a	0.00588966	0.00970987	0.0238093	0.482183	0.321274	0.0508469	0.106288
k	0.009355	0.0034208	0.00678839	0.318193	0.463398	0.123034	0.0758104
ó	0.00371687	0.000889954	0.00811452	0.059136	0.128441	0.780123	0.0195788
l	0.000842134	0.0014022	0.00750488	0.125794	0.12047	0.66731	0.0766761
i	0.00445068	0.00938225	0.0300301	0.0772519	0.159882	0.513492	0.205511
</S>	0.00368806	0.0022658	0.00318806	0.0708372	0.152135	0.24165	0.526236
