 	cela	vaut	bien	le	double	</S>
m	0.72455	0.239851	0.0271351	0.00658848	0.000815999	0.00105939
ú	0.0662798	0.833187	0.0249052	0.0228706	0.00201643	0.0507406
a	0.103662	0.883504	0.00276821	0.00384594	0.00221477	0.00400497
ó	0.481189	0.130746	0.136738	0.016475	0.00288662	0.231965
d	0.194679	0.326121	0.363846	0.0829458	0.00470805	0.0277005
í	0.0711208	0.179764	0.0915338	0.064493	0.0108973	0.582191
m	0.065476	0.0318814	0.257113	0.21299	0.0295692	0.402971
b	0.0494365	0.295356	0.0521262	0.193937	0.246365	0.16278
v	0.0742505	0.221165	0.196852	0.177578	0.0807223	0.249433
a	0.106435	0.255582	0.0560631	0.0951973	0.0818384	0.404885
l	0.0410758	0.0351056	0.283025	0.160344	0.184352	0.296098
a	0.0414968	0.0280371	0.296792	0.298164	0.131119	0.204391
m	0.0222873	0.00783189	0.148878	0.215657	0.355853	0.249493
y	0.0257534	0.0420011	0.0222152	0.0967119	0.630392	0.182926
é	0.00445881	0.0174591	0.00200241	0.0176209	0.914614	0.0438451
r	0.0516238	0.050289	0.0529149	0.553154	0.233881	0.058137
é	0.00488485	0.0389186	0.0131618	0.140944	0.258106	0.543985
í	0.00500465	0.00346784	0.171599	0.190573	0.081042	0.548313
b	0.0176773	0.00491588	0.247202	0.302166	0.128108	0.299931
a	0.0340338	0.00680167	0.410058	0.327105	0.112603	0.109398
á	0.00488974	0.00125419	0.0477531	0.128538	0.108939	0.708626
</S>	0.0100875	0.00345983	0.122874	0.11164	0.0300356	0.721903
