 	ils	s'	accroupissent	autour	du	feu	</S>
b	0.942903	0.0439241	0.00738936	0.00146265	0.0041693	0.000110411	4.12169e-05
á	0.981113	0.0159625	0.000839422	0.000276843	0.00118242	0.000564498	6.17854e-05
a	0.949208	0.0260195	0.00208794	0.00115931	0.00764961	0.00592171	0.00795398
b	0.349979	0.435462	0.0230385	0.0227894	0.036582	0.0162216	0.115928
á	0.56659	0.338401	0.0300678	0.0176979	0.0205561	0.00767365	0.0190138
a	0.482471	0.232482	0.0168791	0.0100222	0.0292743	0.0425602	0.186311
d	0.0738811	0.674434	0.0739684	0.0447231	0.0240961	0.0208518	0.088045
z	0.0140106	0.218033	0.0772559	0.0947473	0.025832	0.0894339	0.480687
e	0.0104593	0.390909	0.206713	0.144133	0.0604862	0.0800449	0.107255
m	0.0131029	0.13269	0.331188	0.188381	0.0977207	0.0305723	0.206346
á	0.0184288	0.207987	0.252544	0.105538	0.280403	0.0731765	0.0619228
n	0.0222777	0.143497	0.453955	0.193294	0.121486	0.0299016	0.0355892
ω	0.0202541	0.214033	0.348371	0.169182	0.0798717	0.0611946	0.107093
r	0.00268387	0.050063	0.475187	0.372176	0.0488104	0.0175717	0.0335081
ω	0.000642115	0.0440397	0.442984	0.292817	0.0295312	0.0418727	0.148113
n	0.00151344	0.0460597	0.339886	0.475023	0.0981931	0.00912099	0.0302035
ω	0.000725933	0.0267497	0.274831	0.50032	0.0505449	0.038007	0.108821
r	0.000411897	0.0128097	0.159621	0.578773	0.185438	0.0246691	0.0382769
ω	0.000356041	0.0107749	0.15438	0.563538	0.0843094	0.0625872	0.124055
m	0.000295876	0.00704944	0.0793348	0.407545	0.414165	0.0447309	0.046879
ó	0.00219935	0.0158037	0.106677	0.195337	0.368893	0.118652	0.192437
ω	0.00238775	0.00910577	0.0758507	0.209017	0.365793	0.296163	0.0416823
p	0.000881527	0.00599658	0.0396517	0.26279	0.158222	0.475671	0.0567879
ε	0.000371442	0.0117337	0.11112	0.358575	0.17511	0.13583	0.20726
l	0.00207186	0.00634515	0.223382	0.569665	0.0843173	0.02037	0.0938484
έ	0.00686873	0.00723064	0.0904716	0.513882	0.241873	0.0599505	0.0797237
m	0.000557825	0.0049777	0.0212908	0.0862607	0.593529	0.134468	0.158916
á	0.00201537	0.00279526	0.00666936	0.017774	0.284167	0.45596	0.230619
m	0.00114028	0.00276899	0.00447954	0.00796729	0.278133	0.622076	0.0834351
í	0.0024683	0.00120675	0.00214351	0.0063091	0.110062	0.749126	0.128684
á	0.000339953	0.00068137	0.00170099	0.00290728	0.14265	0.655697	0.196023
</S>	0.00177866	0.00534863	0.00764634	0.0149797	0.0861528	0.415479	0.468615
