 	ingobha	haït	les	enfants	des	autres	parce	qu'	elle	est	stérile	</S>
i	0.76948	0.0838306	0.0581894	0.0181179	0.0267634	0.0183674	0.0127882	0.00753243	0.00226974	0.00190007	0.000433747	0.000326669
n	0.708873	0.277082	0.000544264	0.000180267	0.00119221	0.00426682	0.00116709	0.000671612	0.00106744	0.00123045	0.000891331	0.00283312
g	0.926051	0.0338447	0.00738164	0.00880547	0.00647739	0.0029529	0.000654926	0.00124366	0.000670598	0.000542134	0.00874	0.00263511
o	0.984122	0.0125165	0.000789308	0.00118946	0.000323949	0.000162181	7.30302e-05	0.000105751	7.46061e-05	2.3431e-05	0.000137593	0.000481876
b	0.914827	0.0484285	0.0103925	0.00531947	0.00403905	0.00190163	0.000498081	0.000642914	0.000525635	0.000252592	0.00394846	0.00922447
h	0.539985	0.156126	0.0300778	0.00104876	0.021412	0.00928685	0.0193713	0.0184599	0.0193969	0.00858903	0.00889449	0.167352
a	0.643081	0.243001	0.0352087	0.00601655	0.0115594	0.00385267	0.00713996	0.00623427	0.00294697	0.000733886	0.00408316	0.0361427
l	0.487825	0.0295248	0.161733	0.0198975	0.0792977	0.0236709	0.0375459	0.0323588	0.0358224	0.0289587	0.00132736	0.0620375
á	0.196323	0.0589956	0.121084	0.015697	0.0578016	0.0133452	0.03378	0.100909	0.0422944	0.0435567	0.0284348	0.28778
a	0.394187	0.043364	0.254658	0.1774	0.0340907	0.012122	0.0194236	0.0218336	0.0121435	0.00833013	0.00474948	0.0176974
b	0.143555	0.750107	0.0237358	0.00428825	0.0164716	0.0135029	0.00510953	0.00356916	0.013419	0.0077264	0.00505723	0.0134575
h	0.00930642	0.947179	0.0162103	0.0014229	0.00805669	0.0110263	0.00284226	0.000667595	0.00135853	0.000464858	0.000186278	0.00127884
i	0.0145341	0.975397	0.00284025	0.000169112	0.000904401	0.00309672	0.000697564	0.000145374	0.000377127	0.000360346	0.000334953	0.00114329
n	0.110792	0.687773	0.0602347	0.0145521	0.0408171	0.0239315	0.0160566	0.00517424	0.00805203	0.0117556	0.00718712	0.0136738
á	0.13143	0.496529	0.261699	0.00771508	0.0173726	0.00736353	0.0138547	0.00628439	0.00407437	0.00491142	0.00514991	0.0436168
b	0.0114212	0.0079449	0.582828	0.237213	0.10187	0.015905	0.0229584	0.0111329	0.00319384	0.00194024	0.000488542	0.00310458
á	0.00056367	0.00680639	0.103044	0.83278	0.024966	0.0180353	0.00866133	0.00137572	0.00217589	0.000456138	0.000353982	0.000781939
n	0.000151998	0.000550863	0.109322	0.864397	0.0149379	0.0056913	0.00274697	0.000835621	0.000974065	7.75556e-05	8.21754e-05	0.000233417
a	0.0037173	0.0029165	0.13564	0.777874	0.0361396	0.0067776	0.00638755	0.00581214	0.0015416	0.000788019	0.00201539	0.0203905
b	0.00201981	0.00476029	0.244421	0.0709017	0.529756	0.0596371	0.0284845	0.0235969	0.0164772	0.0107127	0.00320973	0.00602345
á	0.00449319	0.0107612	0.160535	0.236455	0.208529	0.135608	0.156764	0.0403249	0.0267428	0.00513097	0.00135344	0.0133011
a	0.00192109	0.000722898	0.0276127	0.0625875	0.179174	0.200152	0.244062	0.143869	0.102128	0.0184691	0.00426073	0.0150415
b	0.00833815	0.0134507	0.00490707	0.00324034	0.102442	0.347385	0.176519	0.083344	0.135133	0.0748789	0.0128016	0.0375599
i	0.00295705	0.0683094	0.00781496	0.00662951	0.0740662	0.374622	0.241006	0.0546113	0.131927	0.0145671	0.0104375	0.0130516
a	0.00573617	0.0112763	0.00607324	0.00388509	0.055747	0.546356	0.127204	0.0182414	0.088183	0.0318199	0.0140705	0.0914078
t	0.000526435	0.000273214	0.00751076	0.00441126	0.0299748	0.0748342	0.216108	0.320569	0.158203	0.149228	0.00515121	0.0332098
s	0.00179977	0.00183511	0.00898883	0.0141386	0.0685131	0.0518981	0.333357	0.137417	0.274473	0.0233456	0.0343459	0.0498875
í	0.000511155	0.000950722	0.00697545	0.00888115	0.0504794	0.0559486	0.346717	0.1789	0.17983	0.0233716	0.0909117	0.0565236
