 	ce	puits	d'	eau	est	profond	</S>
i	0.714553	0.257135	0.0234948	0.00296343	0.00131284	0.000128476	0.000412721
b	0.0522954	0.942348	0.00304959	0.000322914	0.000422383	0.000842174	0.000719213
é	0.0211652	0.975004	0.00308915	9.20679e-05	0.000104306	0.000436067	0.000109123
á	0.094586	0.734352	0.0658635	0.00775205	0.00265302	0.0114333	0.0833598
l	0.112607	0.131055	0.217557	0.218721	0.062083	0.00819528	0.249783
á	0.0230668	0.0148311	0.137879	0.175094	0.0742112	0.0400416	0.534876
m	0.569805	0.0758395	0.157561	0.14379	0.0350458	0.00764829	0.0103104
á	0.0233409	0.143087	0.290296	0.358743	0.115001	0.0473996	0.022131
a	0.0365945	0.0934819	0.429605	0.290428	0.0595919	0.0411816	0.0491167
d	0.00461573	0.0119392	0.145696	0.23644	0.332328	0.157767	0.111214
í	0.00287491	0.00294664	0.0843046	0.114644	0.246012	0.218384	0.330834
í	0.00307985	0.00295445	0.0662332	0.130098	0.157455	0.212148	0.428032
d	0.00364843	0.00232923	0.0380163	0.110779	0.375402	0.223048	0.246778
í	0.00246037	0.000420534	0.00663884	0.0438798	0.104598	0.405078	0.436924
t	0.00405471	0.0012771	0.02015	0.0383448	0.0486364	0.253419	0.634118
w	0.0104729	0.00843341	0.0368327	0.021368	0.0508462	0.638027	0.23402
έ	0.115981	0.0529311	0.207293	0.0673028	0.0376406	0.32993	0.188922
b	0.000895601	0.000529326	0.0308607	0.0135522	0.0157421	0.199364	0.739056
h	0.00412215	0.00279028	0.0325819	0.00982392	0.032049	0.565622	0.353011
έ	0.0127406	0.0015531	0.0201054	0.00509159	0.0289054	0.422245	0.509359
l	0.000921638	0.000320188	0.00637999	0.00338336	0.0132005	0.205267	0.770527
έ	0.00151146	0.00231591	0.011434	0.00643116	0.0190434	0.591234	0.36803
</S>	0.0080309	0.00172028	0.0116536	0.0120677	0.0311449	0.275837	0.659545
