 	les	pêcheurs	ont	rapporté	beaucoup	de	poisson	</S>
a	0.79649	0.161366	0.02725	0.000659193	0.00276886	0.00973223	0.00155279	0.000181204
l	0.0228793	0.960335	0.00770751	0.0030199	0.00295243	0.000834502	0.00176388	0.000507897
ώ	0.00485744	0.91027	0.00520534	0.0263193	0.0255127	0.000585355	0.000440803	0.0268089
b	0.067808	0.520672	0.0796605	0.064354	0.0885426	0.0334463	0.0459128	0.0996042
h	0.16996	0.309475	0.185476	0.0368699	0.038649	0.039209	0.0201589	0.200201
i	0.298065	0.581522	0.0461772	0.00600565	0.0102082	0.00609419	0.0013678	0.0505596
á	0.18148	0.0171841	0.697317	0.0521041	0.0192695	0.0135702	0.00161835	0.0174564
y	0.0377873	0.0117652	0.212585	0.452207	0.174809	0.0279099	0.0122924	0.0706432
ε	0.0347331	0.00119694	0.0718916	0.684031	0.0785848	0.0160116	0.0611133	0.052438
ε	0.0689711	0.0142072	0.225618	0.324024	0.144117	0.0480108	0.0198614	0.155191
l	0.0362215	0.00040686	0.19571	0.169754	0.266915	0.216836	0.0758199	0.0383365
a	0.0160514	0.0019225	0.0629657	0.369086	0.293499	0.0776626	0.0553628	0.123451
a	0.028628	0.000505428	0.095511	0.156334	0.198305	0.245392	0.137034	0.13829
s	0.00449278	0.0035032	0.0219316	0.0954053	0.472445	0.145378	0.147798	0.109046
w	0.00333963	5.46969e-05	0.00240065	0.0267754	0.21561	0.151974	0.41556	0.184285
é	0.00101838	2.73375e-05	0.00349463	0.0189983	0.156172	0.220647	0.52274	0.0769023
e	0.000737579	4.96254e-05	0.0098472	0.0418164	0.233441	0.193485	0.158584	0.36204
b	0.00495139	0.000874343	0.0145635	0.0151297	0.262788	0.304904	0.0722118	0.324577
e	0.0216561	0.00644347	0.00740279	0.0128262	0.105222	0.427534	0.260347	0.158568
l	0.00170585	0.000320821	0.00193574	0.00375687	0.0770702	0.109642	0.117238	0.688331
é	0.00579912	0.00354492	0.0128458	0.0264358	0.196358	0.239998	0.116523	0.398496
</S>	0.00200994	0.00106399	0.00971456	0.0170534	0.135863	0.131297	0.065394	0.637604
