 	nous	avons	traversé	le	fleuve	par	pirogue	</S>
b	0.715902	0.238544	0.031191	0.00994327	0.00113581	0.00107265	0.00149614	0.000715389
í	0.806903	0.122568	0.0063097	0.011078	0.00322825	0.00328308	0.0462866	0.000343257
s	0.924846	0.0452928	0.012783	0.00250038	0.000682865	0.000448301	0.0121567	0.00128946
í	0.794432	0.0629403	0.0253335	0.022828	0.0113186	0.00671372	0.074977	0.00145741
l	0.0358058	0.350714	0.328512	0.0560463	0.0188048	0.0191691	0.00810695	0.182841
é	0.00424911	0.068558	0.459389	0.0975938	0.0655854	0.038629	0.0142914	0.251704
k	0.000752747	0.108888	0.840615	0.0270216	0.0102365	0.00518797	0.000199409	0.00709872
y	0.0100118	0.0751657	0.757219	0.106309	0.0289042	0.00812438	0.00090992	0.0133559
é	0.0612877	0.0969506	0.753612	0.0706172	0.00936222	0.00445969	0.0012448	0.00246572
n	0.0249377	0.0720989	0.601656	0.20444	0.0358198	0.0172987	0.0141225	0.0296268
i	0.0314132	0.0301963	0.385765	0.400584	0.0991063	0.0184517	0.0217583	0.0127255
n	0.0328466	0.0668721	0.0942937	0.435292	0.247997	0.08369	0.0245653	0.0144442
d	0.00203824	0.0199698	0.183924	0.186442	0.543885	0.0357245	0.00338069	0.0246363
z	0.00169808	0.00353302	0.0211808	0.124563	0.792087	0.0326268	0.00103489	0.0232768
á	0.000618844	0.00176855	0.00364058	0.0909551	0.719052	0.0546349	0.00130111	0.128029
l	0.000193614	0.00243662	0.00589616	0.10868	0.266383	0.222402	0.0135331	0.380476
é	0.00281595	0.00788442	0.0678438	0.160753	0.422685	0.154971	0.0202658	0.162781
m	0.000928633	0.00306179	0.00927765	0.110284	0.184561	0.405561	0.0314085	0.254918
ó	0.000717973	0.00331823	0.000637986	0.0205608	0.0829586	0.384791	0.0469673	0.460049
b	0.000962261	0.00669666	0.00259771	0.0409818	0.0640186	0.248688	0.332403	0.303652
v	0.0018359	0.00778006	0.0103334	0.0961715	0.095137	0.298797	0.396565	0.0933804
á	3.08521e-05	2.74042e-05	0.000223946	0.00136106	0.0016161	0.00502871	0.990113	0.00159914
r	0.00927427	0.000148886	0.000333382	0.00609897	0.00546589	0.0441257	0.826879	0.107674
e	0.00153817	0.000612575	0.00430959	0.0284431	0.110407	0.258274	0.32293	0.273486
</S>	0.000598104	0.00102415	0.00219891	0.00882999	0.0211313	0.175187	0.0481548	0.742875
