 	le	panier	que	j'	avais	laissé	sur	la	termitière	a	dégringolé	</S>
m	0.5052	0.393774	0.0603256	0.00789819	0.0218997	0.0014273	0.00175139	0.00409548	0.000716828	0.00275149	0.000131292	2.81126e-05
ú	0.106793	0.501623	0.226415	0.0803194	0.02052	0.00726435	0.00390723	0.00938701	0.00293529	0.0181116	0.00112863	0.0215956
a	0.264009	0.668984	0.0325762	0.00578134	0.00813195	0.00198231	0.00356736	0.00472868	0.000759321	0.00106191	0.00250161	0.00591606
m	0.101042	0.284752	0.505204	0.0272904	0.0340091	0.00504012	0.00477807	0.00504195	0.00220079	0.0056204	0.00108035	0.0239415
ó	0.118948	0.337003	0.457052	0.0333028	0.025949	0.00865334	0.00461177	0.00351879	0.00296753	0.00405134	0.000300767	0.00364103
ó	0.151823	0.131171	0.315935	0.146461	0.161983	0.023757	0.0142567	0.0137264	0.00941615	0.00931927	0.00446878	0.0176835
y	0.0284367	0.0270075	0.191547	0.165892	0.180877	0.268217	0.0443114	0.0167407	0.0270187	0.0111867	0.0238084	0.014957
í	0.0132584	0.0059558	0.0164895	0.388544	0.0873958	0.437337	0.014041	0.00343459	0.0219303	0.00140816	9.10256e-05	0.0101145
í	0.0134051	0.00423781	0.0304268	0.340648	0.138335	0.209407	0.0129339	0.00710322	0.0208844	0.00794411	0.000264735	0.21441
n	0.00469553	0.00112624	0.121204	0.558547	0.135539	0.123401	0.0163786	0.00764903	0.00588189	0.0141495	0.000244022	0.0111852
g	0.00809821	0.00746626	0.0223475	0.902491	0.0252296	0.0185537	0.00347591	0.00668174	0.000980019	0.00271204	0.000153103	0.00181067
á	0.0166334	0.0258613	0.0484806	0.783203	0.018845	0.0628898	0.0170999	0.0145994	0.00384153	0.00272446	0.000831352	0.00499058
ó	0.0179237	0.0106456	0.158506	0.0761613	0.237191	0.0339963	0.230255	0.144923	0.0350079	0.0393976	0.00507106	0.0109211
i	0.00327904	0.00817755	0.00361998	0.00724469	0.0479324	0.144567	0.392928	0.140421	0.239981	0.00382664	0.00471458	0.00330898
k	0.00298138	0.008466	0.00453956	0.0044833	0.0289842	0.0571605	0.302779	0.174405	0.337642	0.00635667	0.0356639	0.0365387
o	0.000921508	0.00244287	0.00147684	0.0010526	0.063588	0.0158355	0.457015	0.267221	0.0870733	0.0019739	0.0630083	0.0383916
ó	0.00030011	0.00173339	0.00166762	0.00146999	0.0529554	0.0222193	0.482219	0.243839	0.111488	0.00250069	0.0380094	0.0415986
l	0.00260234	0.00164763	0.00904483	0.00789372	0.00516072	0.0374943	0.10357	0.213499	0.379265	0.132844	0.0106897	0.0962885
ó	0.0026341	0.00274446	0.00657886	0.0154112	0.00985229	0.044297	0.0712436	0.214584	0.252484	0.0661399	0.0217279	0.292303
s	0.00199734	0.000920569	0.0071217	0.0117073	0.00424988	0.00912809	0.0297755	0.0945872	0.404992	0.199252	0.066197	0.170071
é	0.0019469	0.00113894	0.00191573	0.01086	0.000841747	0.0183435	0.0178279	0.0568006	0.820532	0.0310798	0.0151892	0.0235241
m	0.0013627	0.000387168	0.00303892	0.0051831	0.00114225	0.00700611	0.0197539	0.0490532	0.703321	0.0960578	0.0311414	0.0825526
b	0.00266951	0.00213827	0.00413619	0.00178542	0.00177728	0.00167322	0.022318	0.0826132	0.234484	0.222058	0.0717574	0.35259
á	0.0178306	0.012365	0.00663825	0.00481102	0.000928662	0.00114482	0.0385077	0.292333	0.0769123	0.129588	0.219299	0.199642
ó	0.00328802	0.000795706	0.00473228	0.00475548	0.00315049	0.001004	0.00870504	0.0357789	0.0554808	0.514767	0.0500278	0.317515
m	0.0027253	0.00170441	0.00516722	0.00633221	0.00266222	0.0328058	0.0183472	0.0235738	0.193849	0.337674	0.194903	0.180256
i	0.00350777	0.016795	0.0185988	0.00383824	0.00147009	0.00242437	0.0238817	0.0447906	0.217731	0.389565	0.0720125	0.205385
b	0.000827127	0.00201692	0.00182452	0.000126387	0.000222441	0.00150664	0.0163218	0.0236341	0.0895068	0.0709949	0.505796	0.287222
ó	0.000119653	0.000693365	0.000747123	0.000106305	0.000178116	0.000807489	0.00761198	0.0100756	0.0161912	0.0125392	0.930408	0.0205217
n	0.000391551	0.00100227	0.00112552	0.000904693	0.000744396	0.00196143	0.0211885	0.0279647	0.129787	0.0593737	0.40981	0.345747
a	0.00856892	0.0119875	0.00555372	0.00831223	0.00454378	0.00499408	0.0378005	0.078476	0.0223715	0.157889	0.373737	0.285765
a	0.00456059	0.00106764	0.00566374	0.00948552	0.00146755	0.000769018	0.00419068	0.0153366	0.00976537	0.342307	0.0293203	0.576066
</S>	0.00754134	0.00270882	0.0149352	0.0111471	0.00746346	0.0179918	0.0570447	0.0715552	0.0717878	0.476053	0.082773	0.178999
