 	cet	homme	grimpe	un	palmier	en	cache-sexe	</S>
m	0.854652	0.133624	0.00110997	0.000847656	0.00778807	0.0011099	0.000763308	0.000105144
o	0.991721	0.0072483	4.4885e-05	0.000196617	0.000278377	0.000423776	1.35982e-05	7.28547e-05
r	0.845985	0.13675	0.0137924	0.00160016	0.000171918	0.000642982	0.000319236	0.000738634
o	0.805399	0.0814028	0.0100837	0.00417749	0.000146288	0.00286119	0.0421492	0.0537799
w	0.912219	0.0820899	0.0023174	0.000409451	0.000136542	0.000570307	3.54348e-05	0.00222172
o	0.724557	0.0381668	0.023164	0.0580798	0.0333108	0.0774719	0.00786227	0.0373872
b	0.357703	0.0943747	0.238116	0.117437	0.00994195	0.0484213	0.0037295	0.130277
o	0.459106	0.0669028	0.0265328	0.0720439	0.267369	0.0753374	0.00404477	0.0286634
l	0.0839745	0.0587478	0.609324	0.143895	0.0227111	0.0241686	0.00269155	0.0544882
á	0.154677	0.0159686	0.317086	0.235582	0.0472944	0.074321	0.0183261	0.136745
a	0.461524	0.0056152	0.0557762	0.249942	0.0934919	0.0902826	0.0116601	0.0317084
l	0.000757338	0.00216747	0.942679	0.0483632	0.0019665	0.00185083	0.000342646	0.00187303
é	5.98326e-05	0.000375107	0.978129	0.0180453	0.00026686	0.00083367	0.000183411	0.00210697
á	0.00256236	0.000173125	0.805679	0.170617	0.00423353	0.0102845	0.00104777	0.00540296
m	0.00319172	0.000357524	0.025779	0.345754	0.37676	0.187415	0.0373165	0.023427
b	0.00541212	0.00209866	0.0118649	0.0957907	0.181682	0.583372	0.0298543	0.0899256
í	0.000722217	0.000139454	0.0101623	0.0953421	0.660805	0.128131	0.0781164	0.0265808
a	0.000593973	0.000338621	0.00374578	0.0568897	0.648104	0.203869	0.0261243	0.060335
m	0.00023619	0.000235136	0.0156898	0.0666333	0.238674	0.486122	0.0806377	0.111772
ó	0.00831071	0.00112258	0.00599006	0.0306986	0.0519897	0.506149	0.0846589	0.311081
t	0.00157882	0.000512117	0.0103167	0.0215847	0.0336931	0.133482	0.721905	0.0769276
s	0.000152636	0.000363531	0.0102603	0.0325333	0.00817594	0.0677828	0.842063	0.0386684
w	9.39711e-05	0.000118629	0.00449318	0.0177571	0.0176249	0.043141	0.870195	0.0465765
έ	0.000314824	0.000101493	0.00445968	0.00870803	0.00563258	0.033339	0.896328	0.0511161
m	0.000635631	4.33388e-05	0.00388767	0.0103621	0.0219246	0.0403744	0.733394	0.189378
b	0.00105161	1.89632e-05	0.000217262	0.00713449	0.00753232	0.0876197	0.723317	0.173109
έ	0.00089633	5.57828e-05	0.00118886	0.00731989	0.0326229	0.0264064	0.905277	0.0262328
</S>	0.00303271	8.47352e-05	0.00130144	0.00723955	0.0314954	0.148706	0.0803897	0.72775
