 	les	chenilles	rouges	ravagent	le	feuillage	du	grand	arbre	engoma	</S>
i	0.476403	0.238278	0.247917	0.0198533	0.00924782	0.000822692	0.00124002	0.00201613	0.00404472	0.000127239	4.95372e-05
b	0.031518	0.532644	0.128103	0.294037	0.00354628	0.00434442	0.00152861	0.000708904	0.000761536	0.000740627	0.00206763
a	0.0186973	0.262416	0.492575	0.153039	0.019956	0.0238304	0.0050589	0.00398104	0.00272784	0.00735257	0.0103665
n	0.0117575	0.543139	0.337192	0.0372915	0.0206536	0.0141962	0.00596534	0.00269248	0.00162043	0.0083281	0.0171636
y	0.145034	0.697944	0.139495	0.00204731	0.00418013	0.00177931	0.00152765	0.00068001	0.000385878	0.000454277	0.00647322
a	0.107234	0.501049	0.242325	0.00333742	0.0135269	0.00582112	0.00517862	0.00283678	0.00161478	0.00126905	0.115807
a	0.20712	0.0230144	0.672717	0.0115535	0.046648	0.0122878	0.00494328	0.00181042	0.00225225	0.00023953	0.0174135
m	0.332594	0.0379974	0.28421	0.109314	0.119037	0.0299762	0.0287504	0.0104316	0.011383	0.00321319	0.0330939
í	0.157941	0.000991776	0.0941956	0.215602	0.202044	0.122084	0.0500084	0.0117204	0.00938874	0.0123217	0.123702
i	0.088657	0.00225585	0.114673	0.340767	0.244864	0.0565828	0.0372598	0.0186081	0.0135452	0.0128662	0.0699212
d	0.00680164	0.00152453	0.0293681	0.44122	0.143819	0.20926	0.0637532	0.00849883	0.00440111	0.0231408	0.0682129
z	0.00187616	0.000710131	0.0603628	0.416065	0.0925025	0.189979	0.125806	0.023861	0.0116033	0.0131654	0.0640683
á	0.0284762	0.00563849	0.244856	0.14353	0.240513	0.17579	0.0741637	0.0105923	0.0069263	0.0303601	0.039154
á	0.00467484	0.000130945	0.0784507	0.0275403	0.061908	0.374973	0.227702	0.0431733	0.0337165	0.00292249	0.144808
e	0.0192247	0.000940334	0.0189609	0.00921109	0.116378	0.239656	0.293542	0.126115	0.124847	0.0253623	0.0257621
n	0.00431581	0.00119767	0.00747685	0.0191571	0.0351209	0.175914	0.27265	0.0834701	0.0355032	0.282781	0.082413
g	0.00235474	0.00112945	0.00456374	0.00528651	0.0350301	0.0161312	0.131842	0.174022	0.122629	0.47709	0.0299217
o	0.000667312	0.00249271	0.00281437	0.00323619	0.0261204	0.006403	0.0352408	0.0510559	0.0239813	0.837983	0.0100048
m	0.000332611	0.00165739	0.00467319	0.00234679	0.030767	0.00512574	0.0430579	0.0697512	0.0185891	0.697086	0.126613
á	0.00560267	0.000304793	0.011045	0.00227767	0.032347	0.0525214	0.0946371	0.236945	0.22567	0.20281	0.13584
</S>	0.0122076	0.000612611	0.00369991	0.000418916	0.00629631	0.0134588	0.0925361	0.154868	0.209388	0.0413578	0.465155
