 	il	est	très	bavard	</S>
w	0.913157	0.0560358	0.023228	0.00676311	0.00081627
a	0.956211	0.0208175	0.0165331	0.0060427	0.000396021
a	0.146326	0.673653	0.148338	0.00443016	0.0272529
p	0.105088	0.452864	0.276505	0.0499184	0.115625
é	0.0105817	0.191614	0.202892	0.247383	0.347529
n	0.0149283	0.129051	0.618672	0.207594	0.0297548
d	0.043417	0.303976	0.568386	0.0592783	0.0249428
í	0.218314	0.455327	0.303453	0.0149264	0.00797975
l	0.148161	0.0848088	0.321672	0.369084	0.0762736
o	0.0323597	0.0313705	0.333563	0.353668	0.249039
b	0.0259095	0.00951175	0.0834065	0.798876	0.0822958
h	0.00695768	0.0280453	0.11781	0.763415	0.0837718
ó	0.00138143	0.0247364	0.127586	0.229705	0.616591
</S>	0.00030475	0.00844989	0.0882405	0.155209	0.747796
