 	cette	femme	ne	se	lave	plus	parce	qu'	elle	est	en	veuvage	</S>
o	0.807747	0.0506605	0.00333875	0.0298849	0.0295816	0.0380532	0.0158043	0.0142894	0.00566828	0.0009105	0.00144548	0.00253737	7.88083e-05
y	0.0495016	0.89426	0.0229162	0.00428831	0.00749245	0.00187605	0.00191091	0.00232597	0.000805386	0.0035631	0.00174305	0.00437528	0.00494201
ú	0.392294	0.578146	0.00531259	0.00316898	0.00885355	0.00256393	0.00114942	0.00224534	0.000631207	0.00326034	0.00109457	0.000483659	0.000796577
r	0.794784	0.159688	0.00531143	0.00351467	0.00777756	0.00201412	0.000936004	0.00192633	0.000213354	0.00727107	0.00745899	0.002895	0.00620964
u	0.8493	0.0903866	0.00550195	0.00863293	0.00389897	0.00970245	0.00619672	0.00674756	0.00104569	0.00465624	0.00421002	0.00764606	0.00207474
w	0.399016	0.183555	0.161826	0.0704733	0.0219358	0.0198549	0.0166991	0.0198382	0.0252643	0.0220086	0.0159278	0.00736104	0.0362389
ó	0.116638	0.0729004	0.0650322	0.0445844	0.0277134	0.0755386	0.116164	0.0920379	0.0904054	0.0709344	0.0260746	0.0363518	0.165624
a	0.0840103	0.0160512	0.15801	0.168823	0.0416745	0.132451	0.0684877	0.10664	0.0598575	0.0380969	0.0344459	0.0182692	0.0731817
d	0.00493652	0.00288192	0.530429	0.165945	0.104751	0.010293	0.0037886	0.00793056	0.0233549	0.0643387	0.0210442	0.0133942	0.0469128
í	0.0263335	0.00288792	0.452749	0.0716644	0.0434844	0.0454256	0.0252398	0.0180131	0.0122359	0.0777649	0.0142588	0.00494934	0.204994
o	0.0243231	0.000139619	0.101408	0.158823	0.399409	0.116279	0.0716394	0.0316678	0.0190611	0.0196145	0.0201504	0.0114892	0.0259968
p	0.00486623	0.000872123	0.0609147	0.147701	0.583132	0.0927031	0.0221497	0.0196264	0.0106206	0.0210508	0.00941294	0.0181255	0.00882489
f	7.2044e-05	3.60237e-05	0.0378026	0.0261982	0.877716	0.0178267	0.00281783	0.00236219	0.00636794	0.00815796	0.00157496	0.00549353	0.0135739
ú	6.06195e-05	2.41086e-06	0.0149424	0.0209178	0.91459	0.00889695	0.00228474	0.00277904	0.003407	0.0123992	0.00604423	0.00903884	0.00463713
b	0.0109431	0.000256541	0.0277831	0.109419	0.579171	0.188391	0.0322293	0.01945	0.0086898	0.00286769	0.00510474	0.0101177	0.00557711
h	0.0188915	2.29007e-05	0.0593472	0.0832934	0.514836	0.140169	0.0474476	0.048201	0.0226358	0.0235921	0.00613492	0.0260251	0.00940361
a	0.013388	1.16746e-05	0.0313349	0.11386	0.410417	0.218397	0.0769986	0.0474952	0.0273899	0.0102068	0.00876569	0.0268409	0.0148944
k	0.0018166	9.39575e-06	0.0225012	0.0577711	0.0399831	0.338086	0.151232	0.252981	0.0828697	0.0191466	0.0107072	0.00755117	0.0153452
a	0.000655799	3.71607e-05	0.0122436	0.0312187	0.215747	0.0833762	0.152641	0.0870867	0.289084	0.0416812	0.00577417	0.060918	0.0195369
á	0.000357605	3.37251e-05	0.0175222	0.026764	0.150153	0.110805	0.102861	0.112099	0.31735	0.0779818	0.013872	0.0258319	0.0443683
t	0.00094609	0.000200427	0.00913681	0.00863264	0.00144789	0.0228318	0.31365	0.208635	0.218442	0.131059	0.0475931	0.00890477	0.0285204
s	0.00146734	2.68445e-05	0.0154339	0.0273866	0.04749	0.034553	0.0593104	0.125865	0.234651	0.272666	0.0730132	0.0440139	0.0641222
í	0.00156238	2.44754e-05	0.00251671	0.00993674	0.0225852	0.0363464	0.196526	0.143021	0.298191	0.131039	0.0506004	0.0632546	0.0443954
n	0.00180179	0.000656417	0.010112	0.0142034	0.0081857	0.0291585	0.277589	0.139011	0.210788	0.114761	0.0427907	0.0512318	0.0997108
a	0.00609332	0.000244983	0.00360205	0.0025366	0.00255505	0.0222125	0.470702	0.140832	0.060782	0.0249066	0.00721461	0.0552081	0.20311
w	0.00179951	6.51411e-05	0.00632925	0.00451442	0.00116616	0.0180771	0.114618	0.280091	0.114651	0.244129	0.12979	0.0180727	0.0666964
a	0.0115824	0.000271217	0.0208807	0.023717	0.0122296	0.0554218	0.184991	0.248266	0.24276	0.0914781	0.0376059	0.0251589	0.0456378
a	0.00504867	7.95344e-05	0.00324433	0.00416115	0.00374363	0.0178151	0.0988122	0.167694	0.165705	0.271752	0.150643	0.0204334	0.0908667
d	0.000955153	0.000141331	0.0731494	0.036648	0.00801303	0.00719511	0.00575262	0.0187306	0.0367007	0.366079	0.199459	0.0265638	0.220613
i	0.000358453	0.000170737	0.022713	0.00925482	0.00199059	0.00206313	0.00534337	0.0104106	0.0227286	0.402054	0.174909	0.0218077	0.326196
m	0.000164377	3.49645e-06	0.003748	0.00529612	0.000968387	0.00261475	0.00748704	0.0171179	0.0224282	0.264027	0.532209	0.0536575	0.0902781
ó	0.00179719	0.000361047	0.00699398	0.0110203	0.00142836	0.00699834	0.028887	0.0240565	0.0401898	0.166804	0.482722	0.0898804	0.138862
k	5.30348e-05	9.81218e-06	0.00222341	0.00704226	0.00424197	0.00582581	0.00361282	0.0153717	0.0144895	0.135575	0.333843	0.39863	0.0790818
w	1.70783e-05	1.01104e-05	0.00173322	0.00382853	0.0179757	0.00147723	0.000493991	0.00167157	0.00557135	0.0676545	0.080971	0.742462	0.0761337
é	0.00104062	1.3551e-05	0.000897699	0.0069935	0.0452801	0.00518271	0.00508102	0.0047356	0.0102048	0.0193922	0.0222332	0.854454	0.0244911
é	0.000358588	1.44817e-06	0.000370806	0.00107897	0.012354	0.00186156	0.00913176	0.00578562	0.0206898	0.0263488	0.0364896	0.684961	0.200568
l	0.000512832	2.24021e-06	0.00432192	0.0105338	0.00996745	0.0147123	0.00884856	0.0167862	0.0143888	0.0449239	0.145335	0.346789	0.382879
é	0.00237561	3.31319e-05	0.00436847	0.00869033	0.0126446	0.0135979	0.0138804	0.0143319	0.0139078	0.0627883	0.0990583	0.31248	0.441844
</S>	0.00110065	1.6834e-05	0.00166805	0.00327921	0.00266339	0.0102288	0.0130603	0.0170548	0.0079786	0.0506971	0.148098	0.209204	0.53495
