 	c'	est	une	assiette	en	terre	</S>
d	0.39501	0.354007	0.191927	0.0357619	0.0209259	0.00172086	0.000648011
í	0.471265	0.217639	0.107512	0.03975	0.0635042	0.0289019	0.0714283
s	0.111809	0.226957	0.605359	0.00933322	0.0104784	0.0340546	0.00200926
a	0.307514	0.439791	0.109011	0.0447785	0.0246961	0.011835	0.062375
á	0.073592	0.145215	0.421973	0.0467889	0.0289239	0.00302771	0.28048
n	0.147175	0.0905873	0.223033	0.19183	0.305019	0.00626696	0.0360881
i	0.0862966	0.0348289	0.193623	0.555658	0.0386669	0.0140703	0.0768563
á	0.0518356	0.065326	0.196263	0.116559	0.488916	0.0252297	0.055871
b	0.0378643	0.0359731	0.0616587	0.097428	0.662112	0.058468	0.0464961
ω	0.00398356	0.0251573	0.0474507	0.313452	0.500594	0.0444079	0.0649548
n	0.017667	0.0865283	0.117299	0.17396	0.252036	0.179181	0.173329
g	0.0679558	0.100147	0.105188	0.0317457	0.250551	0.302373	0.14204
i	0.123396	0.0921407	0.281431	0.133236	0.120634	0.165793	0.0833696
m	0.0242787	0.00913747	0.0802734	0.0585532	0.285822	0.39103	0.150906
ó	0.0729247	0.0219676	0.0197255	0.0438308	0.119769	0.118389	0.603393
t	0.0226955	0.0193853	0.0395262	0.00972349	0.0815342	0.639353	0.187782
s	0.00928097	0.0353645	0.0276862	0.000709573	0.0421294	0.788537	0.0962926
ε	0.00214546	0.00412828	0.00953017	0.000516121	0.0557996	0.827135	0.100745
n	0.000828331	0.00145294	0.0123774	0.000928608	0.0799826	0.135247	0.769183
g	0.00313032	0.00483831	0.00474004	0.00060805	0.0747405	0.139849	0.772094
ε	0.00295625	0.00283272	0.0107981	0.00738336	0.0258347	0.439581	0.510614
</S>	0.00747445	0.00519534	0.00756202	0.000486618	0.0702984	0.0342632	0.87472
