 	cet	homme	est	atteint	de	hernie	</S>
i	0.60287	0.322585	0.0541071	0.0130293	0.00653118	0.000744527	0.000132462
b	0.126977	0.825376	0.024661	0.0183806	0.00328256	0.000940904	0.000381964
a	0.0129436	0.976636	0.00650142	0.00080045	0.000465334	0.00227278	0.000379858
a	0.02589	0.942575	0.0174368	0.00204103	0.000529256	0.00198674	0.00954133
d	0.457663	0.0602723	0.25667	0.065442	0.00986323	0.000617372	0.149472
í	0.0435033	0.00587359	0.0973741	0.166137	0.0343614	0.0212457	0.631505
í	0.0620495	0.0294616	0.378102	0.230397	0.0955996	0.0305374	0.173853
d	0.0208653	0.00292565	0.105444	0.510817	0.208523	0.112621	0.0388043
í	0.00390526	0.000533913	0.0199618	0.198662	0.142326	0.222496	0.412114
l	0.00361484	0.0017098	0.0902534	0.120656	0.114845	0.162137	0.506783
a	0.00113812	0.000689823	0.0224473	0.098847	0.136027	0.353561	0.387289
m	0.00283099	0.0016751	0.00534246	0.0314625	0.0389282	0.865388	0.054373
b	0.00253321	0.000713883	0.000953279	0.00371188	0.0154133	0.944615	0.032059
é	0.00121666	0.000871483	0.00162563	0.00470301	0.0331322	0.912873	0.0455781
n	0.00213116	0.00145204	0.0103877	0.00976808	0.0637391	0.447351	0.465171
d	0.0261131	0.0155035	0.0322669	0.0753515	0.179788	0.351839	0.319139
z	0.00465667	0.00173304	0.00348017	0.0248688	0.0535197	0.494967	0.416775
a	0.00325573	0.00218985	0.0110966	0.0458047	0.0722956	0.303503	0.561854
</S>	0.00253458	0.000815323	0.0269601	0.0766052	0.0735843	0.057479	0.762022
