 	l'	antilope	bondit	à	l'	approche	de	l'	homme	</S>
m	0.611512	0.359803	0.00706832	0.00309967	0.00595465	0.00835516	0.00288412	0.00109571	0.000162537	6.40582e-05
v	0.0530183	0.913857	0.0133735	0.00573595	0.00373775	0.00035256	0.00135302	0.00293709	0.00041189	0.00522292
u	0.011952	0.958127	0.00991726	0.00773938	0.00727898	0.00220516	0.000369386	0.00026241	0.0021106	3.74367e-05
l	0.0969261	0.812504	0.0349112	0.0155917	0.0156167	0.00149575	0.000528323	0.0043112	0.00113484	0.0169803
u	0.312244	0.415932	0.0677007	0.0532203	0.0507781	0.0125971	0.00776523	0.0177949	0.00208842	0.0598793
l	0.492242	0.105876	0.229242	0.0632074	0.0328543	0.00986836	0.0167475	0.0121172	0.00281234	0.0350329
ó	0.167361	0.0313279	0.255663	0.0957508	0.0453254	0.0135131	0.0681415	0.0783307	0.00175322	0.242834
b	0.0557306	0.0134629	0.649441	0.143716	0.0522561	0.0147199	0.0114773	0.0243889	0.000887287	0.03392
ó	0.0564358	0.065972	0.582128	0.167407	0.0652299	0.0335568	0.0145882	0.0068392	0.00225379	0.0055887
n	0.0240102	0.0144295	0.661076	0.12289	0.0455223	0.0721901	0.0137392	0.0122774	0.00117145	0.032694
d	0.0711071	0.0423673	0.23831	0.327211	0.226759	0.0336171	0.0203243	0.0105145	0.00132593	0.0284633
a	0.0787714	0.0938479	0.239275	0.265561	0.20022	0.013861	0.0114629	0.00868751	0.0038085	0.0845049
m	0.0333405	0.00365374	0.0644261	0.330588	0.396281	0.0625307	0.0669288	0.0315227	0.00273047	0.00799809
o	0.0177917	0.0115456	0.00643934	0.211698	0.386842	0.0342056	0.137433	0.0856979	0.0321823	0.0761643
r	0.00726862	0.00342775	0.0146372	0.190808	0.262653	0.391325	0.0635488	0.0311947	0.0143625	0.0207747
o	0.0290301	0.0279487	0.0382407	0.28063	0.390181	0.0844018	0.0510332	0.0400444	0.00442705	0.0540636
l	0.00896516	0.00286484	0.0172052	0.261585	0.404288	0.0717016	0.134804	0.0655401	0.0151235	0.0179233
á	0.0103395	0.00213414	0.0202404	0.175001	0.208207	0.225561	0.131437	0.110272	0.0137944	0.103013
a	0.00601828	0.00190728	0.0088404	0.0859913	0.0768754	0.183259	0.249913	0.228858	0.0764112	0.0819267
y	0.00400741	0.00246982	0.054006	0.104352	0.0437455	0.251559	0.141093	0.190407	0.129515	0.0788453
a	0.00304566	0.00589649	0.0739914	0.238982	0.091003	0.0237161	0.0874652	0.159754	0.108722	0.207424
a	0.00046612	0.000878688	0.00856314	0.176976	0.102372	0.0483408	0.138932	0.196892	0.077906	0.248673
a	0.00047039	6.96458e-05	0.00147496	0.0190076	0.0326139	0.0442029	0.24126	0.360162	0.0605457	0.240192
p	0.00243438	0.000456265	0.00662408	0.037594	0.0215246	0.018085	0.10723	0.55024	0.0920494	0.163762
é	0.00152648	0.000891075	0.00549052	0.017302	0.0195467	0.111935	0.105968	0.0816051	0.30325	0.352486
n	0.00026625	6.53282e-05	0.00110584	0.00408852	0.00876072	0.0467525	0.108157	0.101036	0.214291	0.515476
d	0.000522516	0.000456904	0.00149162	0.0107776	0.0229242	0.0502042	0.14612	0.173638	0.186812	0.407053
í	0.000496476	0.000518696	0.00242405	0.0153714	0.0326274	0.046609	0.298317	0.218703	0.201459	0.183474
i	0.00334027	0.000527659	0.00257123	0.016052	0.01913	0.0240786	0.137703	0.417802	0.0655855	0.313209
k	0.00640246	0.00289045	0.00722345	0.0453197	0.0339428	0.0694865	0.109041	0.271552	0.214033	0.240108
á	0.00147921	0.00290158	0.0143506	0.0153018	0.0153479	0.178649	0.0851544	0.114717	0.31622	0.255878
b	0.00751426	0.00119419	0.00256202	0.005119	0.00874516	0.0587433	0.217229	0.0541941	0.353665	0.291034
h	0.00570815	0.00199406	0.000851234	0.00347253	0.00919483	0.0858417	0.202274	0.112325	0.0160263	0.562313
e	0.000615463	0.000907826	0.00115054	0.00815692	0.020346	0.0804414	0.122417	0.0662976	0.152956	0.546711
</S>	0.00365779	0.0015584	0.00541876	0.0194241	0.0223611	0.0798214	0.143841	0.244391	0.0396003	0.439926
