 	il	demande	l'	heure	</S>
w	0.84678	0.114691	0.034053	0.00386605	0.000609705
a	0.87696	0.0346395	0.0629679	0.0249634	0.000468967
l	0.304879	0.507774	0.1794	0.00206759	0.00587943
á	0.0785352	0.187107	0.275423	0.0202391	0.438696
a	0.277926	0.278034	0.279108	0.0941641	0.070768
d	0.0194401	0.632864	0.251217	0.0534318	0.0430472
u	0.00490792	0.0437806	0.834363	0.0488137	0.068135
á	0.150482	0.166567	0.663181	0.0062414	0.0135285
i	0.0337282	0.0888327	0.656048	0.184837	0.0365544
k	0.00843943	0.0756841	0.246052	0.619595	0.0502293
á	0.00391459	0.0114459	0.0456169	0.881391	0.0576311
n	0.0024644	0.0110689	0.0302003	0.923615	0.0326519
g	0.0145505	0.08972	0.195595	0.552553	0.147582
a	0.167857	0.355109	0.0828508	0.244241	0.149943
</S>	0.00466962	0.0162553	0.351494	0.117399	0.510182
