 	la	manière	dont	il	m'	accuser	m'	a	énervé	</S>
e	0.124253	0.0469567	0.355421	0.0310823	0.0393149	0.281483	0.028788	0.00706093	0.00815544	0.0774843
f	0.00283972	0.00377748	0.00435586	0.00537888	0.000931651	0.948973	0.00319502	0.0070134	0.0215499	0.00198518
ú	7.46533e-05	0.000158707	0.00021744	0.00103475	0.000199037	0.978096	0.00202728	0.00560909	0.0118624	0.000720634
n	2.51772e-05	1.84026e-05	0.000293995	7.01414e-05	3.44817e-06	0.994053	0.000138916	0.00310769	0.00120039	0.00108835
d	0.0177601	0.00369211	0.00751403	0.00731593	0.00384586	0.897959	0.00959525	0.0241683	0.0170741	0.0110755
ú	0.13605	0.0113427	0.0189886	0.0787316	0.0504112	0.489015	0.0945836	0.0188728	0.0339074	0.068097
l	0.0374243	0.0938477	0.129914	0.0632987	0.087868	0.200619	0.083805	0.120391	0.0388103	0.144022
ú	0.108398	0.0382794	0.0260439	0.0687807	0.132095	0.116846	0.145501	0.181946	0.0223899	0.159721
y	0.185673	0.12855	0.256376	0.0720301	0.0331664	0.211448	0.0101585	0.034048	0.00612597	0.0624238
é	0.317537	0.0267525	0.235856	0.0105782	0.00631943	0.267362	0.00666139	0.0519196	0.00749682	0.0695168
é	0.377237	0.0536132	0.198799	0.0408836	0.0278656	0.128145	0.0395988	0.0665105	0.00608073	0.0612667
f	0.00213086	0.00124681	0.00324793	0.0122751	0.0114236	0.691275	0.0238083	0.131989	0.0787219	0.0438814
ú	0.00041259	0.000395346	0.00148439	0.0100121	0.00372099	0.847097	0.00738056	0.0596889	0.0375302	0.0322778
n	0.000375637	6.65835e-05	0.000650595	0.00392705	0.00103448	0.942081	0.00637426	0.0158377	0.00630821	0.0233446
d	0.00253765	0.000489804	0.00146495	0.0329263	0.0189701	0.854871	0.0218828	0.0179681	0.0195176	0.0293713
ú	0.0402434	0.00866861	0.0360023	0.124851	0.0363157	0.629401	0.0414837	0.0113765	0.0136915	0.0579667
w	0.00786785	0.00957119	0.0264193	0.384548	0.312763	0.0657559	0.130352	0.0406358	0.00764231	0.0144448
a	0.00571432	0.0131578	0.0110621	0.505255	0.334538	0.0242347	0.0801014	0.0111635	0.00496846	0.00980456
n	0.00108578	0.00354396	0.0119892	0.12141	0.230346	0.0142918	0.457957	0.110816	0.0231369	0.0254234
g	0.0142402	0.00242297	0.0240432	0.0246106	0.225531	0.0361929	0.612597	0.0262779	0.00609465	0.0279897
á	0.000487483	0.000232192	0.00114171	0.00532675	0.0809807	0.00897507	0.881911	0.0136873	0.00314105	0.00411658
é	0.000648451	0.00267985	0.00995477	0.0902004	0.144919	0.0829672	0.205212	0.326286	0.0891946	0.0479382
p	0.000283696	0.00121968	0.00183201	0.00226662	0.00594762	0.0585822	0.0512548	0.570844	0.292652	0.0151175
έ	9.878e-05	0.000130129	0.000539907	0.000775127	0.00121787	0.0573659	0.00952851	0.1983	0.659876	0.0721687
ε	0.000255877	0.000521505	0.00240494	0.0232514	0.0392348	0.0610068	0.191367	0.117106	0.310235	0.254617
n	0.00274474	0.00243959	0.00579526	0.0257475	0.112494	0.0129018	0.309551	0.130332	0.143959	0.254034
g	0.00207874	0.000814523	0.00245909	0.00890581	0.0500937	0.0123184	0.648648	0.0370379	0.103982	0.133663
á	0.0017821	0.0013074	0.00656461	0.00829553	0.0740158	0.0124976	0.761475	0.0373551	0.0195666	0.0771401
k	0.00191206	0.00317033	0.0046713	0.0118525	0.0291721	0.0193262	0.143333	0.184605	0.32233	0.279628
y	0.000380777	0.00244262	0.00287953	0.00456974	0.00195086	0.0137425	0.0294091	0.0838724	0.785205	0.0755474
έ	0.00104434	0.00455008	0.00957099	0.011634	0.0119436	0.0267891	0.0365342	0.0493929	0.606016	0.242525
r	0.000308015	0.00320847	0.0153087	0.0122774	0.0059031	0.0365565	0.150046	0.0247218	0.518038	0.233632
ε	0.00501797	0.0117834	0.0236947	0.0174313	0.0138952	0.0623546	0.267129	0.0603557	0.286569	0.25177
</S>	0.00252597	0.00112474	0.00374358	0.00144319	0.00470109	0.013368	0.0328683	0.09497	0.064835	0.78042
