 	il	a	mal	à	l'	anus	</S>
w	0.587875	0.216646	0.0671128	0.086245	0.0378758	0.00289693	0.00134831
a	0.471265	0.148719	0.120826	0.101485	0.140142	0.0171021	0.000460811
i	0.177344	0.391854	0.20518	0.084177	0.0952183	0.00856215	0.0376647
n	0.045417	0.168828	0.165206	0.242851	0.100034	0.0581725	0.219492
d	0.0279356	0.130163	0.520427	0.0821957	0.0492326	0.0544313	0.135615
u	0.0205471	0.072015	0.310468	0.056536	0.0304299	0.190355	0.319649
n	0.00740007	0.0332135	0.487831	0.0498975	0.118329	0.229355	0.0739733
g	0.153059	0.140039	0.278375	0.12102	0.0883421	0.0586837	0.160481
u	0.0607138	0.0894527	0.498575	0.124495	0.118935	0.0677506	0.0400783
l	0.0408675	0.0691487	0.0906242	0.198057	0.304986	0.0777399	0.218577
í	0.0380791	0.0676463	0.119742	0.120982	0.161382	0.150996	0.341173
i	0.100117	0.111379	0.242272	0.107209	0.179743	0.0943829	0.164897
l	0.00516829	0.0389913	0.0484683	0.0716883	0.0418312	0.652485	0.141367
a	0.000809776	0.0129554	0.0412316	0.0676194	0.0372633	0.650755	0.189365
n	0.00368309	0.0331953	0.121628	0.121563	0.0868612	0.394154	0.238915
d	0.00410822	0.0128845	0.02471	0.0597918	0.0431455	0.274983	0.580377
a	0.00469035	0.0109525	0.0342597	0.029392	0.0586823	0.22748	0.634543
</S>	0.00706178	0.0107656	0.0309401	0.0371533	0.204251	0.0849367	0.624892
