 	un	furoncle	lui	est	apparu	entre	l'	anus	et	le	sexe	</S>
i	0.899446	0.0761432	0.00579146	0.00225951	0.00458838	0.00609563	0.00286849	0.00111666	0.000965321	0.000517082	0.000150684	5.76369e-05
p	0.185556	0.740921	0.021193	0.0181133	0.0146211	0.00831223	0.00108848	0.00182844	0.003296	0.00201312	0.00122863	0.00182905
i	0.0118103	0.911026	0.00331755	0.00758938	0.0410092	0.0133313	0.00135386	0.00139829	0.00163666	0.000633381	0.00600938	0.000884996
a	0.0557513	0.901906	0.0104467	0.00941493	0.00570608	0.00624052	0.000774831	0.00139119	0.00177875	0.000637604	0.00098857	0.0049631
í	0.131326	0.0346042	0.644191	0.107083	0.0131297	0.00939708	0.00578537	0.00674806	0.00546818	0.00352583	0.000231563	0.0385104
m	0.0297909	0.00689931	0.321038	0.356021	0.0987909	0.0936978	0.0130764	0.023293	0.0166655	0.0181883	0.00151797	0.0210212
i	0.0160813	0.00623691	0.318181	0.335987	0.0840258	0.0218189	0.0734517	0.0750445	0.0247385	0.0180405	0.000461563	0.0259327
y	0.00406418	0.0222835	0.128878	0.537535	0.144844	0.0919951	0.0155735	0.0246474	0.00849812	0.0075896	0.00178385	0.0123081
a	0.000897158	0.00408108	0.0838811	0.390539	0.319998	0.0992599	0.0226943	0.0289865	0.00419729	0.00987603	0.00622446	0.0293653
á	0.00121521	0.00197104	0.0842924	0.254199	0.143278	0.0697843	0.0470835	0.0374621	0.00981895	0.0273115	0.0103325	0.313252
w	0.00649157	0.00119556	0.134021	0.154463	0.350851	0.171106	0.107108	0.0341436	0.0106718	0.00594017	0.00135817	0.0226505
a	0.00837548	0.00199932	0.147868	0.10956	0.249098	0.0992644	0.253196	0.0459699	0.0338492	0.0203731	0.0035155	0.0269307
m	0.00212185	0.000405657	0.0549387	0.037326	0.145996	0.207902	0.332843	0.149136	0.0208559	0.00987557	0.00344971	0.0351494
ó	0.00228337	0.00122136	0.0253618	0.0216721	0.0192555	0.0104137	0.290924	0.152604	0.0728996	0.0831441	0.00391184	0.316309
l	0.0079095	0.000851232	0.00381278	0.0055022	0.0116542	0.0518602	0.242469	0.418225	0.0248203	0.0167126	0.201888	0.0142957
e	0.00143787	0.0020639	0.00643487	0.014207	0.00528946	0.0481116	0.13021	0.531844	0.0763684	0.0420503	0.0577326	0.0842497
k	0.000371262	0.000454017	0.00280539	0.00679796	0.018527	0.0651882	0.172392	0.418382	0.0460407	0.0422552	0.189698	0.0370883
í	0.00114291	0.0012126	0.000904786	0.00373106	0.0575838	0.165937	0.0921357	0.100296	0.170134	0.0429813	0.300847	0.0630942
n	0.000304653	0.00162204	0.00169269	0.00444888	0.0572481	0.120357	0.0856216	0.102266	0.128215	0.0645968	0.331176	0.102451
g	0.00411095	0.0107157	0.00532575	0.0118264	0.0323216	0.0916876	0.0679146	0.0929091	0.191595	0.0574912	0.313689	0.120413
ε	0.00240653	0.000285052	0.000985529	0.00156385	0.0052988	0.0188838	0.0447811	0.0319768	0.0159579	0.0062797	0.82905	0.0425309
</S>	0.000670922	0.000156961	0.00156327	0.00235567	0.00431944	0.0120693	0.0517708	0.0850943	0.189027	0.179934	0.102887	0.370151
