 	tu	parles	trop	bas	je	n'	entends	pas	</S>
n	0.92659	0.0447312	0.00436153	0.00248473	0.00667708	0.00258866	0.00459603	0.0068638	0.00110701
ω	0.984766	0.00676629	9.95441e-05	4.05678e-05	0.00810834	4.43618e-05	0.000110855	5.10401e-05	1.35148e-05
l	0.428156	0.534441	0.00668612	0.00223998	0.0126421	0.00241401	0.00880222	0.00112159	0.00349634
ó	0.141536	0.194379	0.0486779	0.0231937	0.0421889	0.0549393	0.0557149	0.0486069	0.390764
o	0.140015	0.366428	0.0981463	0.023789	0.0504661	0.0535557	0.0563526	0.0619988	0.149248
t	0.00603812	0.659798	0.228958	0.0638619	0.000899044	0.0200652	0.00255473	0.00212812	0.0156967
i	0.00235333	0.604952	0.30332	0.0614877	0.000610736	0.00895001	0.000995692	0.0011208	0.0162093
a	0.00661047	0.631308	0.274389	0.0538633	0.00225524	0.0121364	0.00193339	0.00134878	0.0161551
o	0.0868075	0.105994	0.408148	0.246713	0.0775839	0.0159671	0.0185611	0.00787374	0.0323521
t	0.000360484	0.0455474	0.358867	0.531412	0.00653571	0.0308058	0.00579894	0.00934988	0.0113233
ó	9.24008e-05	0.0609607	0.450712	0.428824	0.00408951	0.0192107	0.00175909	0.00745768	0.0268932
o	0.00107055	0.0732048	0.468086	0.407619	0.00781622	0.0147041	0.00196938	0.00364703	0.0218836
t	0.00120979	0.0178818	0.200474	0.563617	0.0739145	0.0800921	0.0219938	0.00683502	0.0339819
í	0.00484677	0.0110933	0.318713	0.320886	0.0467635	0.139392	0.00647526	0.051242	0.100588
n	0.00280951	0.00239512	0.0725279	0.147099	0.419176	0.128494	0.0153465	0.0423178	0.169834
g	0.00446085	0.00321989	0.0162312	0.0393586	0.765121	0.0294315	0.013893	0.00925274	0.119032
á	0.0111303	0.00273155	0.0132919	0.0134802	0.861926	0.0102895	0.0129391	0.00647049	0.0677406
i	0.00302767	0.00446493	0.0177037	0.0488829	0.439079	0.256304	0.125163	0.0683778	0.0369976
d	0.000930977	0.00513124	0.0223391	0.0414657	0.0450658	0.468635	0.136336	0.190139	0.0899568
í	0.000291959	0.000992025	0.00382013	0.0171141	0.0125545	0.432174	0.239301	0.139158	0.154595
n	0.000343652	0.000302958	0.00246664	0.00986471	0.0168614	0.230575	0.202607	0.269338	0.267642
ω	0.00107001	0.00108081	0.00129483	0.0035788	0.226014	0.0730604	0.357858	0.098196	0.237847
o	0.000157438	0.000645679	0.00322496	0.00402322	0.105006	0.110242	0.288539	0.108762	0.3794
b	6.46337e-05	0.00108887	0.00342168	0.00787797	0.00143856	0.201101	0.442232	0.255543	0.0872322
ó	0.000171069	0.00426985	0.0126471	0.0693486	0.0019689	0.240781	0.116234	0.467787	0.0867923
n	7.18168e-05	0.000791467	0.00925452	0.0664784	0.00514959	0.233873	0.0651658	0.313796	0.305419
d	0.000191591	0.00413501	0.0188766	0.0325215	0.0193647	0.26137	0.16451	0.232965	0.266066
a	0.000470296	0.00376658	0.0127836	0.0203612	0.0186894	0.12886	0.0972309	0.344361	0.373477
k	0.00232423	0.00297806	0.00712843	0.00510633	0.0543969	0.1177	0.293103	0.103989	0.413274
a	0.000867983	0.000848732	0.00487103	0.0171308	0.0122263	0.110352	0.065883	0.381983	0.405837
á	0.00022741	0.000299548	0.000976742	0.00395275	0.00358937	0.0470012	0.0207458	0.233817	0.68939
</S>	0.00156899	0.00263449	0.0111437	0.00770178	0.0348221	0.109263	0.153135	0.0716302	0.6081
