 	la	femme	qui	est	partie	récolter	du	manioc	au	champ	a	laissé	des	traces	sur	le	chemin	pour	permettre	à	son	mari	de	la	suivre	</S>
o	0.848064	0.0225494	0.0310192	0.0232446	0.0061365	0.000541103	0.0063698	0.00220122	0.0272217	0.00118967	0.00800904	8.32285e-05	0.000968965	0.0004042	0.00102354	0.00338588	0.00514572	0.00315619	0.000267895	0.0049106	0.00316479	8.30824e-05	0.000322429	0.000455648	2.95695e-05	5.18042e-05
y	0.0591863	0.838231	0.0442916	0.013886	0.0136791	0.00752078	0.00138385	0.000346962	0.000778121	0.00344835	0.00172902	0.00175579	0.00111858	0.000884306	0.000535478	0.000490184	0.000510742	0.000193412	5.54828e-05	0.000612095	0.000939785	0.0012431	0.0013135	0.00053645	0.00223424	0.00309533
ú	0.737997	0.136362	0.0504759	0.0144304	0.0122731	0.0150029	0.000760333	0.00060364	0.000264206	0.0240343	0.000640881	0.00234452	0.00031941	0.000526558	0.000235122	0.000133055	0.000294652	0.000232598	0.000294119	0.000316912	0.00030791	0.0013066	0.000214964	0.000157644	0.000270538	0.00020051
r	0.892928	0.0223688	0.0168595	0.00236748	0.00448599	0.00552395	0.00190208	0.000583771	0.00097476	0.0304391	0.00149115	0.00213248	0.00134823	0.00135019	0.000955584	0.000657793	0.00149545	0.000429918	0.000512982	0.0016062	0.00169538	0.00292909	0.000798137	0.000470252	0.00239452	0.00129896
u	0.498572	0.0168373	0.245321	0.0339311	0.0425257	0.0125372	0.0146291	0.0048314	0.0252781	0.0226865	0.00826682	0.000958861	0.00609601	0.00957686	0.00465625	0.00456142	0.005207	0.00241593	0.00147737	0.0116337	0.00845571	0.00528326	0.00373438	0.00138556	0.0032782	0.00586325
y	0.0619399	0.0748137	0.359273	0.215081	0.117802	0.00954843	0.00834104	0.00400871	0.0108565	0.00115634	0.00945719	0.00891534	0.00730936	0.00493198	0.00759208	0.00626339	0.00412539	0.00737492	0.0117779	0.0122503	0.0105471	0.0102505	0.00908286	0.00566393	0.00168276	0.019954
e	0.171906	0.0374234	0.410654	0.169756	0.0786828	0.0173148	0.012144	0.00220244	0.00940393	0.00679453	0.0213626	0.0131913	0.00313218	0.00430157	0.00477169	0.00283076	0.000870524	0.00358591	0.00325145	0.00419711	0.0040568	0.00711906	0.00252928	0.00130227	0.0027484	0.00446757
e	0.101555	0.00315483	0.349503	0.333722	0.0743105	0.00650707	0.0102722	0.00139595	0.0144539	0.00410615	0.0120617	0.00291118	0.00465964	0.00287607	0.00519453	0.00567908	0.0028256	0.00710644	0.00434843	0.00887712	0.0112583	0.00705969	0.00549002	0.00687576	0.00230356	0.0114919
d	0.00738588	0.0185092	0.0285165	0.13304	0.424129	0.213304	0.00846878	0.0250184	0.00363083	0.000766032	0.00106207	0.0174648	0.0109946	0.0181156	0.00394101	0.00180075	0.000768577	0.00179301	0.00741511	0.00449161	0.00280399	0.0206961	0.0104076	0.00420217	0.00483032	0.0264448
z	0.018836	0.00252827	0.0117862	0.0842959	0.224107	0.507357	0.0167708	0.0180108	0.00195717	0.000731783	0.000613326	0.040684	0.00759782	0.0119859	0.00281081	0.00113197	0.000609415	0.000614357	0.00364686	0.00282811	0.00249303	0.0122991	0.00782734	0.00252178	0.00209514	0.0138605
w	0.162001	0.00720235	0.0185104	0.0531349	0.655726	0.0905189	0.00357962	0.0007528	0.000491074	0.000619217	0.000376143	0.00147407	0.000383525	0.00133124	0.000686447	0.000193667	5.64968e-05	0.00012681	0.000830651	0.000412619	0.000162943	0.000475407	0.000258015	7.95212e-05	0.000128389	0.000488183
é	0.0146496	0.00124455	0.0204582	0.0606816	0.539569	0.192493	0.0274071	0.00767018	0.0188051	0.00104566	0.00345219	0.00455002	0.00774097	0.0201352	0.00986531	0.00491134	0.000595928	0.00312279	0.00611768	0.00913908	0.00461703	0.00599816	0.00936561	0.00351814	0.00183665	0.0210095
o	0.0212489	0.000302323	0.107659	0.299355	0.122532	0.0986991	0.169814	0.0198393	0.0577022	0.00501475	0.0117766	0.00537239	0.00562586	0.00263303	0.0063459	0.00650348	0.00259956	0.00665054	0.00566649	0.00638255	0.00811074	0.00262623	0.00527191	0.007879	0.00127475	0.0131145
t	0.000781744	0.000434205	0.00200254	0.00829857	0.0552238	0.674309	0.0541131	0.146926	0.00302503	0.0034975	0.000820124	0.0134591	0.00378805	0.00585143	0.00222653	0.00101242	0.000778029	0.00137242	0.00363524	0.00192352	0.000723676	0.0073416	0.00232126	0.00138659	0.00251179	0.00223705
s	6.25087e-05	2.98879e-05	0.000545134	0.00155967	0.00491095	0.785918	0.023091	0.119399	0.00257827	0.00928324	0.00133463	0.00709972	0.00317923	0.00557459	0.00200578	0.00117609	0.001247	0.0010213	0.00113951	0.00165611	0.00187377	0.00929604	0.00543828	0.00174089	0.00263385	0.00620565
í	0.000136135	7.46779e-05	0.00355278	0.00661107	0.0102932	0.273676	0.132865	0.31476	0.0127905	0.0452891	0.00834243	0.00412584	0.0159295	0.0257185	0.0121845	0.00789928	0.0138085	0.00630164	0.00547118	0.0116278	0.0139865	0.0220863	0.0240677	0.0095986	0.00619012	0.0126125
m	0.000529022	0.000105881	0.00475193	0.00812422	0.0138149	0.246608	0.104579	0.264108	0.0447201	0.0112857	0.0124375	0.00898564	0.010945	0.0146593	0.0118498	0.0110365	0.00922395	0.0109349	0.00850179	0.0103267	0.0110569	0.00693791	0.0217329	0.0133361	0.00804822	0.13136
