 	j'	ai	puisé	de	l'	eau	au	puits	</S>
n	0.681776	0.0839815	0.0758457	0.105475	0.0455591	0.00169209	0.00251465	0.0030773	7.90704e-05
g	0.942334	0.0557492	0.000289731	0.000830552	0.000709269	5.31876e-06	5.74007e-05	1.68031e-05	7.41602e-06
á	0.691097	0.278764	0.0237031	0.00360837	0.00189406	0.000355139	0.000205713	0.0003539	1.89851e-05
í	0.0694621	0.462413	0.144324	0.0943446	0.134788	0.0231714	0.00775818	0.008254	0.0554844
t	0.0282486	0.537648	0.355408	0.0311729	0.00456098	0.00857832	0.00883113	0.0150381	0.0105135
ó	0.000223422	0.0256881	0.902051	0.0441426	0.00449305	0.00770993	0.00469632	0.00619189	0.00480383
i	0.00148267	0.0895066	0.792421	0.0836793	0.0130778	0.00287774	0.00414529	0.00361221	0.00919769
m	0.0104311	0.041268	0.0982529	0.293124	0.472176	0.0432185	0.0305722	0.00528089	0.00567645
á	0.000881047	0.010485	0.00484312	0.122483	0.16313	0.66823	0.00831547	0.00787663	0.013755
a	0.00766556	0.0124673	0.00697634	0.0824856	0.259859	0.560073	0.0250477	0.015699	0.0297272
m	0.000909017	0.0197385	0.0370956	0.187933	0.14447	0.275063	0.198056	0.111051	0.0256836
í	9.82521e-05	0.00538348	0.00168855	0.140139	0.0715957	0.48069	0.031558	0.226643	0.0422032
b	2.27429e-05	0.00402299	0.00729645	0.162836	0.0717318	0.382068	0.0769311	0.207784	0.0873077
é	0.000142303	0.0045577	0.0508543	0.214887	0.115344	0.157444	0.122688	0.243672	0.0904108
á	0.000248088	0.00250476	0.00649997	0.0628628	0.0648535	0.110964	0.14532	0.36424	0.242507
</S>	0.00106282	0.00794896	0.00167382	0.021901	0.0429284	0.0109169	0.305674	0.319577	0.288317
