 	il	est	arrivé	aussitôt	après	ton	départ	</S>
n	0.517933	0.086551	0.0660479	0.0969759	0.0584815	0.144343	0.024961	0.00470652
ω	0.379996	0.0567816	0.0454953	0.0123889	0.256619	0.23662	0.00579254	0.00630557
l	0.334521	0.260981	0.0773215	0.109792	0.0745331	0.0838194	0.00589748	0.0531344
ώ	0.0761922	0.0388767	0.0410978	0.101977	0.0483165	0.0888034	0.0569717	0.547764
t	0.21245	0.122118	0.101156	0.147964	0.0762507	0.152282	0.0545133	0.133265
έ	0.0637473	0.0828937	0.0408912	0.64873	0.0103084	0.0291375	0.0870201	0.0372724
m	0.0614352	0.0799107	0.141706	0.355701	0.0782596	0.0888553	0.125923	0.068209
ε	0.0441202	0.0752574	0.061693	0.662297	0.024351	0.027925	0.0418049	0.0625518
b	0.040955	0.0892451	0.186096	0.326694	0.0975966	0.0757736	0.0468645	0.136776
ó	0.133003	0.167712	0.136214	0.0537976	0.12435	0.231528	0.0509028	0.102494
w	0.0207258	0.127062	0.211282	0.114503	0.122753	0.206495	0.0303853	0.166793
a	0.0134151	0.0424219	0.228045	0.544127	0.0485139	0.0560112	0.0336985	0.0337672
a	0.0136456	0.0282201	0.244257	0.121924	0.15426	0.260688	0.0330439	0.143961
p	0.00377351	0.0565376	0.183923	0.02585	0.111359	0.1698	0.143555	0.305202
f	0.000513487	0.0123999	0.0890178	0.1251	0.070372	0.0400931	0.35118	0.311324
e	0.00333146	0.0253143	0.167035	0.096218	0.092337	0.0455705	0.409366	0.160827
</S>	0.00139144	0.00887283	0.063955	0.0296861	0.103659	0.136173	0.0690794	0.587182
