 	l'	oncle	a	envoûté	son	neveu	</S>
n	0.919693	0.0527506	0.00785904	0.00275714	0.0159301	0.000953364	5.66236e-05
g	0.516568	0.469475	0.00164972	0.00621421	0.0058592	0.000209926	2.35214e-05
ó	0.048282	0.944017	0.000757549	0.00378066	0.000995439	0.00209189	7.54958e-05
l	0.00252765	0.99669	8.43146e-05	0.000386413	9.72222e-05	0.00015112	6.32807e-05
ó	0.109669	0.716821	0.058166	0.0374098	0.0236234	0.0200302	0.0342806
m	0.154926	0.0778557	0.52971	0.159862	0.0513784	0.00870983	0.0175581
i	0.700655	0.0490493	0.104734	0.0609749	0.0289283	0.00671619	0.0489424
á	0.203106	0.0110561	0.595121	0.117152	0.0131665	0.0103196	0.0500796
m	0.0143847	0.00133831	0.542643	0.328316	0.0203785	0.00663259	0.0863073
i	0.0156991	0.00789922	0.758804	0.133782	0.00828309	0.0481843	0.0273482
s	0.0123088	0.0051468	0.517164	0.410786	0.00933783	0.00843203	0.0368242
ó	0.0010078	0.000562049	0.0790583	0.846816	0.0162683	0.00358521	0.0527021
n	0.000858144	0.000542618	0.138599	0.719241	0.0298185	0.0028754	0.108065
g	0.0136366	0.00625924	0.305364	0.48554	0.0466782	0.00678342	0.135739
í	0.0779161	0.10148	0.108351	0.549815	0.0935511	0.0227313	0.0461556
s	0.0128311	0.000394023	0.163786	0.228347	0.562314	0.015547	0.0167815
á	0.00718422	0.000127176	0.0269432	0.551403	0.37005	0.00732273	0.0369697
m	0.013198	0.00116603	0.00689526	0.0189258	0.786746	0.169787	0.0032822
w	0.000120687	6.19901e-05	0.00251505	0.00653033	0.0136256	0.969615	0.00753093
á	0.000123523	4.98015e-05	0.000149132	0.000434501	0.000820771	0.998193	0.000229148
n	0.00714493	0.00462268	0.0100436	0.0112005	0.0697174	0.89026	0.00701136
a	0.0279893	0.0428515	0.0279783	0.181674	0.157051	0.485619	0.0768373
b	0.0258859	0.00212014	0.0727263	0.210601	0.479713	0.0415206	0.167432
o	0.00527008	0.000109984	0.0488821	0.145988	0.645915	0.04456	0.109274
r	0.000724498	0.000482091	0.0281942	0.224263	0.207215	0.0371068	0.502014
a	0.00985102	0.00459869	0.0301605	0.3761	0.260085	0.0408156	0.27839
</S>	0.00072294	8.99538e-05	0.0148261	0.0543337	0.0799696	0.00187616	0.848181
