 	il	perce	l'	abcès	</S>
w	0.788717	0.0322858	0.174292	0.0041894	0.000515651
a	0.862995	0.0291517	0.0836814	0.0237848	0.00038719
l	0.390907	0.299098	0.251138	0.00322396	0.0556333
á	0.435397	0.119661	0.183403	0.0372876	0.224252
a	0.450371	0.0625065	0.216508	0.12692	0.143695
t	0.0512699	0.781689	0.0454358	0.0676551	0.05395
ú	0.0173962	0.782619	0.028381	0.0701753	0.101429
b	0.0152838	0.773182	0.0658651	0.0189415	0.126728
h	0.0523071	0.612131	0.0830124	0.0234727	0.229077
á	0.0120709	0.419466	0.0423929	0.01678	0.50929
i	0.0626431	0.031002	0.723406	0.120839	0.0621096
p	0.0202957	0.0719221	0.072682	0.768418	0.0666818
i	0.000376928	0.0117312	0.0113083	0.921263	0.0553204
a	0.00290325	0.0179577	0.0736852	0.573267	0.332187
</S>	0.033742	0.0121513	0.30041	0.147443	0.506254
