 	ses	documents	sont	épars	sur	la	table	</S>
k	0.578431	0.324157	0.0894805	0.00269903	0.000918106	0.00417074	0.00012246	2.1089e-05
á	0.0545251	0.934141	0.00811755	0.00125506	0.000954677	0.000543999	0.000251383	0.000211619
s	0.0764332	0.671372	0.0456755	0.150341	0.0308316	0.00816381	0.0010672	0.0161152
i	0.0992074	0.829757	0.0318019	0.0145881	0.00616353	0.00813563	0.00053889	0.00980738
y	0.528562	0.149405	0.276733	0.0182955	0.00549207	0.00455359	0.000467089	0.0164918
á	0.413604	0.0566039	0.398025	0.023848	0.0192798	0.019784	0.0200041	0.0488509
w	0.674734	0.0122631	0.246928	0.0142101	0.00596545	0.0179673	0.0159944	0.0119375
a	0.780693	0.0175414	0.111507	0.00832188	0.00915193	0.0354909	0.00803599	0.0292582
é	0.118692	0.00333694	0.649053	0.12468	0.0255672	0.0291694	0.0112276	0.0382744
d	0.0193159	0.0044966	0.18611	0.693023	0.0802526	0.00667288	0.00136812	0.00876115
í	0.00799766	0.00114086	0.101911	0.217382	0.433559	0.0610638	0.0571259	0.11982
f	0.00756053	0.000145526	0.0324513	0.522993	0.252644	0.083117	0.0300492	0.0710395
έ	0.0236838	0.00595312	0.0199677	0.762378	0.121283	0.00936986	0.0232308	0.0341332
e	0.0111627	0.00233667	0.0194452	0.622147	0.131356	0.0283157	0.0257205	0.159516
f	0.00215648	0.000399575	0.014216	0.229732	0.426946	0.197423	0.0430057	0.0861217
έ	0.00425122	0.00139823	0.00779876	0.439358	0.267517	0.0723514	0.0344707	0.172855
e	0.00155847	0.00036596	0.00905308	0.266067	0.401839	0.0905355	0.0220721	0.208509
ó	0.00194035	0.000282413	0.00993938	0.057995	0.333351	0.375914	0.0520092	0.168569
m	0.00967399	0.00398044	0.0134648	0.029943	0.313248	0.288697	0.277882	0.0631106
é	0.00120324	0.000277708	0.00561219	0.000224545	0.00921395	0.12628	0.766374	0.0908148
s	0.00122267	0.000739185	0.0215749	0.00483946	0.0913319	0.330402	0.422615	0.127275
á	0.000375187	0.000159351	0.000403077	0.000221968	0.0113298	0.0322028	0.867691	0.0876167
</S>	0.000650265	3.83737e-05	0.000464885	0.000642379	0.016	0.115969	0.449854	0.416382
