 	le	prêtre	purifie	la	maison	de	puissances	maléfiques	</S>
p	0.505428	0.485145	0.00146922	0.003829	0.00259109	0.000970314	0.000435949	7.36524e-05	5.84473e-05
έ	0.0567184	0.940416	0.00112547	0.000755357	0.000176616	0.000313561	0.000395187	3.22456e-05	6.69693e-05
l	0.155312	0.683681	0.0132179	0.046569	0.0227121	0.0439697	0.00915008	0.0101825	0.015206
ε	0.0965503	0.788574	0.0134989	0.0229305	0.0149018	0.0230864	0.00775879	0.0110643	0.0216347
l	0.467006	0.262447	0.139085	0.0281262	0.00767601	0.0193396	0.00439173	0.00482333	0.0671055
á	0.255845	0.124697	0.259627	0.0560866	0.0307725	0.0809075	0.0140669	0.0161628	0.161835
a	0.688444	0.0180504	0.0298101	0.0521212	0.140944	0.0279435	0.012408	0.0191575	0.0111211
b	0.00318786	0.0098228	0.749048	0.195557	0.035276	0.00346609	0.00111286	0.000579796	0.00194927
ω	0.000875842	0.000198923	0.962972	0.03262	0.000282389	0.00147695	0.000923251	4.53994e-06	0.000646442
n	0.00454902	0.0102748	0.684948	0.264991	0.0174965	0.0123351	0.00121181	0.000295314	0.00389853
d	0.0627629	0.0373524	0.311857	0.252372	0.167395	0.110682	0.0189577	0.0057807	0.0328401
z	0.0422062	0.0122816	0.0548492	0.269464	0.0830563	0.279604	0.0475708	0.0171606	0.193807
ώ	0.0239683	0.00750878	0.0614569	0.188967	0.066748	0.19021	0.0888451	0.0197246	0.352571
n	0.00901428	0.00106251	0.0131217	0.299107	0.407848	0.226028	0.0250127	0.00572472	0.0130818
d	0.000883233	0.000521648	0.00223892	0.0617685	0.694695	0.0806721	0.068935	0.0775142	0.0127713
é	0.000301131	0.000402132	0.000917575	0.0256449	0.671337	0.116408	0.0328783	0.131009	0.0211028
e	0.000664509	0.000824936	0.00921352	0.0578026	0.117839	0.417927	0.199868	0.131914	0.0639465
</S>	0.000725012	0.000497877	0.00231258	0.0427991	0.0161493	0.336703	0.113658	0.0454884	0.441667
