 	ce	blanc	qui	vient	de	l'	occident	est	gaucher	</S>
e	0.430285	0.44488	0.0625995	0.00687981	0.0114063	0.0182406	0.00891984	0.0139266	0.000942196	0.00192035
b	0.0403587	0.89322	0.00547121	0.00665944	0.0201708	0.0107006	0.00492065	0.00464393	0.0110567	0.00279822
a	0.0205431	0.947067	0.00219187	0.00112105	0.00269187	0.00426754	0.00214141	0.00230036	0.0156583	0.00201751
a	0.0272628	0.862931	0.0133737	0.00510054	0.0138086	0.0194656	0.00766573	0.00683636	0.00343191	0.0401235
m	0.422832	0.297184	0.167176	0.022538	0.0115493	0.0105124	0.00626241	0.0125365	0.000996222	0.0484132
i	0.309722	0.04435	0.286067	0.0513941	0.0402525	0.0521183	0.0854125	0.0424441	0.00212571	0.0861131
y	0.254433	0.235182	0.216535	0.0913875	0.0324285	0.0302831	0.0251107	0.0163559	0.00586278	0.0924217
é	0.442117	0.0368556	0.0592922	0.119432	0.0407747	0.0658516	0.213778	0.00512088	0.0016353	0.015143
é	0.368847	0.0359463	0.114115	0.0629561	0.0393846	0.10038	0.187889	0.0190355	0.00786508	0.0635816
w	0.0274279	0.0202245	0.0933527	0.391075	0.193469	0.0886013	0.0950557	0.0152521	0.00677276	0.0687693
ú	0.00595809	0.0245985	0.0663363	0.226144	0.237427	0.199513	0.0932109	0.0342457	0.0499412	0.0626254
r	0.014258	0.0161662	0.0746639	0.112539	0.228749	0.227288	0.232954	0.0261999	0.0151797	0.0520032
ú	0.347112	0.0128095	0.030485	0.027059	0.144251	0.264239	0.120649	0.021523	0.000988539	0.0308833
p	0.0238553	0.00680833	0.134868	0.106732	0.15443	0.178141	0.257226	0.101632	0.00944039	0.0268665
ó	0.0283625	0.014854	0.0444092	0.0392262	0.097409	0.154201	0.486911	0.0444594	0.0570376	0.03313
r	0.00247886	0.00154117	0.0252056	0.0203267	0.0716016	0.121036	0.566779	0.051792	0.0736937	0.0655458
ó	0.0188822	0.0142192	0.0312094	0.0502412	0.150794	0.240116	0.252389	0.0420486	0.0851996	0.114901
y	0.00606614	0.00184367	0.0661764	0.0504798	0.0940188	0.127478	0.239122	0.27875	0.055911	0.0801541
é	0.104455	0.0117243	0.0573513	0.0297394	0.101967	0.1701	0.329409	0.0757619	0.0989793	0.0205124
é	0.0218079	0.0023688	0.0272194	0.00943862	0.0432032	0.115643	0.237299	0.317676	0.11949	0.105854
d	0.00479298	0.00475889	0.0219889	0.0270198	0.0989535	0.0691791	0.0255687	0.218909	0.174889	0.35394
í	0.00868277	0.00103735	0.00297411	0.00499323	0.0521447	0.0346896	0.035264	0.070452	0.020168	0.769594
e	0.0139736	0.000767482	0.0227345	0.00900541	0.0746546	0.0693754	0.063062	0.209637	0.0410725	0.495718
m	0.00800682	0.007133	0.00498362	0.00494557	0.0285507	0.036384	0.0148548	0.0561259	0.659892	0.179124
b	0.0135902	0.0125674	0.0175869	0.014081	0.119318	0.188194	0.0403594	0.122725	0.226064	0.245514
ω	0.00647777	0.00532091	0.00361707	0.00877441	0.0857426	0.152966	0.0510719	0.0767285	0.299856	0.309444
ω	0.0002871	0.000432916	0.00108004	0.0015759	0.0305151	0.0529251	0.0814214	0.0449727	0.244333	0.542457
</S>	0.0033169	0.000892664	0.00805044	0.00350762	0.0342578	0.0644422	0.0474131	0.185518	0.0711724	0.581429
