 	les	danseurs	de	kyebé-kyebé	obtiennent	un	rythme	en	battant	la	main	sur	le	bras	gauche	plié	</S>
a	0.690048	0.259983	0.016101	0.00108849	0.000561969	0.0141778	0.0120818	0.00118827	0.000730826	0.00308708	0.000305829	0.000138843	0.000447519	2.98327e-05	8.24238e-06	1.51232e-05	5.951e-06
s	0.118869	0.659569	0.104678	0.0726679	0.0136276	0.00781346	0.00523304	0.00132768	0.00162456	0.00189214	0.00200055	0.00143698	0.00200095	0.000884092	0.00217428	0.00266608	0.00153462
é	0.0492998	0.658733	0.209091	0.0628865	0.00892421	0.000662627	0.000241229	0.00119617	0.0013533	0.000684753	0.000112294	0.00311802	0.000388269	0.000214543	0.000240077	0.000389091	0.00246528
i	0.0417907	0.265121	0.441282	0.0829302	0.00582346	0.00718504	0.000845935	0.025067	0.00285598	0.0129517	0.000243721	0.0253874	0.00534001	0.000465492	0.00205671	0.0128624	0.0677905
k	0.0350781	0.13434	0.43803	0.239197	0.0769509	0.024121	0.00831579	0.0180455	0.00360617	0.0022751	0.00248349	0.00312379	0.00284609	0.0037204	0.00108098	0.00108431	0.00570112
y	0.00885484	0.0137557	0.0645918	0.731797	0.140977	0.0126731	0.00582755	0.00444653	0.00263288	0.000849951	0.00498844	0.00128869	0.00106733	0.00292645	0.000833769	0.000390581	0.00209853
e	0.00616346	0.00592176	0.0452195	0.878943	0.0432594	0.00695367	0.00113882	0.00261916	0.00122175	0.000822881	0.000629484	0.00155625	0.0013693	0.000274666	0.00132315	0.000601855	0.00198207
b	0.0154402	0.0146332	0.113545	0.727741	0.0797134	0.0078264	0.0047113	0.00441316	0.00446122	0.00242674	0.000658941	0.00485564	0.00392673	0.000470202	0.00375134	0.00312558	0.00830029
h	0.0134612	0.00495684	0.0419817	0.638145	0.199819	0.0349436	0.0179384	0.0107713	0.0178018	0.0048122	0.00165707	0.00236839	0.00153659	0.000632448	0.00114333	0.0011562	0.00687551
é	0.0143306	0.0109349	0.100129	0.523463	0.0768211	0.0636965	0.00966577	0.0575314	0.0427916	0.0245547	0.00398113	0.011138	0.0074222	0.00126774	0.00255031	0.00940946	0.0403124
k	0.0129417	0.00524052	0.189809	0.0757798	0.0922786	0.130101	0.0428881	0.247393	0.0742898	0.0455033	0.0338941	0.0163739	0.00815565	0.00661306	0.00151997	0.00255648	0.0146625
y	0.00156804	0.00137027	0.0108546	0.189836	0.489866	0.0355992	0.0215321	0.0504022	0.13981	0.0090067	0.0215199	0.00903848	0.00406958	0.00474489	0.00303685	0.00140362	0.00634189
e	0.000317132	0.00066264	0.00900198	0.415164	0.188131	0.0203724	0.0158608	0.0705526	0.214202	0.0191833	0.0103165	0.0129284	0.0058143	0.00215138	0.00491913	0.00256253	0.00785942
b	0.000957782	0.00129191	0.0373928	0.361551	0.213661	0.01833	0.0479426	0.0839802	0.157465	0.0191357	0.00898836	0.0149447	0.00503979	0.00219262	0.00415512	0.00387628	0.0190952
h	0.00217989	0.00109839	0.0424702	0.169066	0.242439	0.0660916	0.0638051	0.0777506	0.190375	0.0344052	0.0147938	0.0478575	0.0186408	0.00487394	0.00367556	0.00236566	0.0181107
é	0.00558906	0.00186819	0.0421478	0.0962707	0.0974637	0.101616	0.0892852	0.0883636	0.29178	0.0745882	0.0317339	0.0378197	0.0203872	0.00477212	0.00413049	0.00227424	0.00990935
