 	le	chef	met	de	côté	certaines	lois	</S>
o	0.838897	0.108652	0.0282571	0.00678616	0.00843328	0.00625366	0.00227009	0.000451359
k	0.00858425	0.986431	0.00188218	0.000484493	0.000369627	0.000158567	0.00166984	0.000419986
o	0.0034139	0.991559	0.000697325	0.000508244	0.00103599	0.000130989	0.00129948	0.00135512
n	0.0089199	0.974436	0.0038379	0.00234192	0.00266994	0.00168637	0.0029982	0.00310992
d	0.0871983	0.534029	0.0333887	0.0416154	0.145385	0.0422136	0.048756	0.0674145
z	0.165812	0.742187	0.0317903	0.0130204	0.0240535	0.0031468	0.00172018	0.0182693
i	0.0855244	0.836767	0.00949093	0.00402975	0.0200422	0.00121734	0.0052766	0.0376515
l	0.166943	0.0488463	0.695899	0.0571244	0.0175856	0.0019713	0.00139405	0.010236
á	0.187845	0.0134399	0.225407	0.0981384	0.0266666	0.0866165	0.0129982	0.348888
a	0.364409	0.00272849	0.208551	0.218913	0.0397146	0.125659	0.00852121	0.0315043
s	0.0331562	0.0438673	0.274012	0.392593	0.0733204	0.0235404	0.0673952	0.0921159
á	0.0154991	0.00460491	0.0797777	0.563236	0.0462165	0.0775825	0.0557538	0.157329
m	0.0131628	0.00036546	0.0623671	0.303766	0.049906	0.129264	0.0178717	0.423297
í	0.0242616	0.000163831	0.0100255	0.141749	0.200264	0.478256	0.0282452	0.117035
n	0.00380325	0.00025697	0.0411025	0.198002	0.186111	0.346524	0.075727	0.148473
á	0.00898389	0.00294292	0.0149909	0.144489	0.0735584	0.597199	0.0119011	0.145934
m	0.00331897	0.000381606	0.0140351	0.13377	0.120765	0.505022	0.0661849	0.156523
b	0.00746349	0.000457604	0.0023825	0.0444186	0.18271	0.271148	0.0523033	0.439117
a	0.000941032	0.000288347	0.00240232	0.0457596	0.416761	0.24956	0.200221	0.0840671
o	0.00073407	0.000152039	0.00358408	0.0378587	0.535847	0.0850266	0.175522	0.161275
y	0.00246914	0.000553972	0.0174957	0.0555916	0.127368	0.219328	0.0866136	0.49058
e	0.0322874	0.00226666	0.0365481	0.0752415	0.0702777	0.613885	0.0617351	0.107759
n	0.00366603	0.000489198	0.00961049	0.0539967	0.0265009	0.388585	0.0134426	0.50371
á	0.00773514	0.00107658	0.00418064	0.0288611	0.0173074	0.654019	0.00401668	0.282804
</S>	0.00477351	0.00047076	0.00962957	0.0344072	0.105161	0.386713	0.0250283	0.433817
