 	ses	enfants	ont	bu	courage	</S>
b	0.588063	0.398582	0.00931541	0.00210062	0.000845885	0.00109276
á	0.0494769	0.938528	0.00731631	0.00225414	0.00173071	0.00069436
n	0.105136	0.870147	0.016172	0.00173836	0.000717079	0.00608888
a	0.217718	0.696282	0.0407452	0.0241472	0.0123543	0.00875338
b	0.459689	0.195494	0.190974	0.0867656	0.011092	0.055986
á	0.207764	0.246102	0.213036	0.0331922	0.0045232	0.295383
w	0.0613531	0.363101	0.280584	0.0977081	0.0275727	0.169681
a	0.197572	0.126787	0.216439	0.143471	0.0169845	0.298747
á	0.125178	0.134088	0.407906	0.144186	0.0181336	0.170507
d	0.0121124	0.00474885	0.560113	0.203931	0.0370078	0.182087
í	0.00543333	0.00139956	0.330543	0.221272	0.0256659	0.415686
l	0.0453244	0.0113722	0.266007	0.208948	0.0714043	0.396944
a	0.00933856	0.00265975	0.208192	0.271053	0.130266	0.378492
ω	0.0143185	0.0251223	0.139375	0.229779	0.436917	0.154488
n	0.00290481	0.00202712	0.0213419	0.146722	0.777099	0.0499049
d	0.00117755	0.000959806	0.0068461	0.247954	0.70408	0.0389827
z	0.000169951	0.000133923	0.00249184	0.107734	0.860348	0.0291222
a	0.000617445	0.00142676	0.00989426	0.0948594	0.818553	0.0746493
n	0.00117639	0.00243141	0.020461	0.0734431	0.380934	0.521554
g	0.00631222	0.00592851	0.0397355	0.185979	0.385579	0.376466
á	0.00332201	0.00341504	0.0132216	0.0952053	0.580743	0.304093
</S>	0.0103634	0.00282588	0.149086	0.111539	0.0566154	0.66957
