 	le	chimpanzé	a	un	visage	qui	ressemble	à	celui	de	l'	homme	</S>
k	0.487234	0.273478	0.0783755	0.0314497	0.0170796	0.0144953	0.00518826	0.0323396	0.0123705	0.0307994	0.0105876	0.00296394	0.00363799
ú	0.0395999	0.86906	0.0259406	0.00989356	0.00892218	0.000623923	0.00308783	0.00742824	0.0101954	0.0115693	0.00898716	0.00161452	0.00307693
l	0.0240219	0.473813	0.139171	0.170864	0.0210694	0.00186737	0.019523	0.0334148	0.0252668	0.0198648	0.00503575	0.00695475	0.0591337
ε	0.10709	0.585028	0.141095	0.0625243	0.0118994	0.00584079	0.00789927	0.0339619	0.0175002	0.0108435	0.00718712	0.00318194	0.00594876
s	0.134434	0.0140019	0.440006	0.190252	0.147252	0.0468059	0.00308123	0.00603104	0.00234099	0.00369373	0.0036094	0.0008634	0.00762863
é	0.0651736	0.0298095	0.194734	0.18154	0.393171	0.0587954	0.00552371	0.0112607	0.00739066	0.0112963	0.0127369	0.000488508	0.0280788
l	0.0720948	0.00500308	0.0928059	0.183745	0.501942	0.0835436	0.0118545	0.0139003	0.00410739	0.00537441	0.0153901	0.000700077	0.00953829
é	0.0151686	0.00255889	0.0448395	0.11434	0.466883	0.100513	0.0218348	0.00617333	0.0137179	0.00963967	0.0144054	0.000328029	0.189599
n	0.06507	0.00517401	0.0758963	0.297251	0.316924	0.0916693	0.035371	0.0353438	0.0151681	0.0145771	0.0202395	0.000943631	0.0263724
g	0.0120269	0.0106893	0.0420065	0.0669758	0.645162	0.138132	0.0238149	0.00979018	0.0135933	0.00451614	0.00543175	0.00047928	0.0273813
é	0.00488258	0.018465	0.0246485	0.0496255	0.78136	0.0456901	0.0236334	0.0101105	0.0116641	0.00356133	0.00744863	0.00163357	0.017277
a	0.0508882	0.0291681	0.11071	0.182562	0.123526	0.106304	0.0568578	0.147428	0.0596958	0.0469989	0.0535096	0.0177909	0.0145604
d	0.00866549	0.000565024	0.0572694	0.0778479	0.0418772	0.554572	0.0662502	0.0964693	0.050217	0.0211391	0.0123601	0.00383782	0.00892925
i	0.0100814	0.000437909	0.015309	0.0717414	0.0347013	0.377444	0.183397	0.0507785	0.0709178	0.0236735	0.0124479	0.00119723	0.147874
m	0.00918904	0.000402124	0.012059	0.0608615	0.0165759	0.201716	0.18966	0.273303	0.12546	0.0506401	0.0377102	0.00569745	0.0167252
b	0.014389	0.00465393	0.0126514	0.0580802	0.00313484	0.119249	0.0964811	0.220508	0.126146	0.050597	0.116408	0.126418	0.0512819
í	0.00267916	0.00155822	0.00280766	0.0352632	0.0362597	0.0478044	0.153364	0.123759	0.122528	0.0924828	0.0862425	0.177485	0.117766
m	0.00674163	0.000838172	0.00323734	0.0260143	0.0100189	0.0537729	0.0424552	0.204214	0.126828	0.137254	0.0684086	0.236365	0.0838514
o	0.0118039	0.00587417	0.00443678	0.010989	0.000928845	0.0580573	0.0331136	0.0985935	0.0629205	0.0703136	0.145251	0.218136	0.279582
r	0.00108493	0.00118323	0.00232264	0.00495946	0.000591224	0.017683	0.0364611	0.0788734	0.0979351	0.207432	0.218459	0.0881444	0.24487
o	0.0151098	0.0232325	0.00694773	0.0122845	0.0293787	0.042569	0.0563984	0.0914058	0.19124	0.148838	0.218075	0.0521812	0.112339
</S>	0.000646824	0.000136059	0.00104978	0.00192559	0.00264242	0.0246202	0.0102334	0.0331318	0.0547877	0.206234	0.292962	0.0149537	0.356676
