 	cet	enfant	qui	est	dans	le	lit	est	encore	éveillé	</S>
m	0.756113	0.128689	0.0314578	0.00829642	0.0155116	0.0174653	0.0319453	0.00906403	0.00077719	0.000616829	6.41867e-05
w	0.0336095	0.941993	0.00644298	0.00144776	0.0013153	0.00344913	0.000395871	0.000554026	0.000110099	0.00967994	0.00100286
á	0.0027378	0.995546	0.000232335	9.79906e-05	0.000179722	0.000179457	0.000149589	2.07903e-05	2.1507e-06	0.000844953	8.67021e-06
n	0.122767	0.846102	0.00518817	0.00157364	0.00194611	0.00332529	0.00287692	0.00127445	3.81815e-05	0.00672018	0.008188
a	0.229005	0.233945	0.0946397	0.0382242	0.0357356	0.0690893	0.0169892	0.0337796	0.00286653	0.0306263	0.2151
y	0.550569	0.0351284	0.273142	0.0557965	0.0363907	0.0273623	0.00598075	0.00888174	0.00246172	0.000809655	0.00347743
e	0.493296	0.019212	0.187454	0.0584993	0.0524965	0.0919977	0.0329941	0.0318932	0.0149253	0.00502233	0.0122089
é	0.179459	0.0170777	0.450495	0.120351	0.0919491	0.0646972	0.0180217	0.0206452	0.00692501	0.00598736	0.0243922
d	0.0145535	0.0158519	0.150279	0.390913	0.179798	0.0389528	0.0125712	0.0256778	0.0923107	0.00719401	0.0718981
i	0.0254579	0.0016101	0.0267126	0.20797	0.549268	0.0534717	0.00623264	0.00852032	0.0884543	0.000279058	0.0320233
s	0.0243238	0.00481705	0.0602411	0.230982	0.486322	0.0892157	0.0135515	0.00969656	0.0223806	0.00286141	0.055608
ó	0.0365175	0.00335073	0.033456	0.0959174	0.513131	0.253254	0.0242254	0.0143421	0.0096612	0.00240715	0.0137377
b	0.017754	0.00252025	0.0226777	0.0338698	0.129894	0.439902	0.248831	0.0653686	0.0248866	0.0100902	0.00420489
é	0.0109155	0.00506889	0.0238403	0.0258421	0.0713205	0.133628	0.63052	0.0563381	0.010669	0.0140419	0.0178157
é	0.0007316	0.000369481	0.0339054	0.0338302	0.047704	0.0577744	0.59699	0.130913	0.0189148	0.0142	0.0646673
w	0.000522877	0.000126928	0.0100456	0.0249622	0.0327903	0.0467314	0.0455694	0.411966	0.399759	0.00695593	0.0205705
ú	0.00139323	0.000206395	0.0543249	0.0616884	0.0773394	0.123204	0.0633846	0.282733	0.189996	0.0248003	0.120929
u	0.00189485	0.000135299	0.0162109	0.0434912	0.0748566	0.133903	0.0713269	0.38753	0.172763	0.028073	0.0698151
a	0.00261694	0.000622854	0.00648808	0.0348492	0.0323524	0.0259433	0.0105795	0.33117	0.125865	0.157115	0.272398
s	0.000735666	0.000114954	0.00446366	0.01116	0.0115052	0.0105919	0.00839587	0.0671641	0.458159	0.340466	0.0872436
á	0.00344698	0.000191988	0.00270248	0.00602939	0.0203503	0.0109993	0.00253226	0.0125817	0.826953	0.0515599	0.062653
a	0.00946758	0.00199811	0.00332984	0.00462772	0.0264005	0.0364921	0.0095128	0.0350316	0.0705598	0.565047	0.237533
m	0.000779842	0.000155462	0.00181063	0.0057977	0.00740712	0.00464573	0.00244068	0.0295009	0.0585869	0.594581	0.294294
ω	0.00254999	0.00187991	0.00469293	0.00953279	0.0122178	0.0131524	0.00253782	0.00635702	0.00455574	0.810563	0.131961
n	0.000738	0.000188165	0.00479054	0.00461445	0.00845031	0.00988156	0.00162108	0.0127032	0.0115483	0.607362	0.338102
g	0.000539071	8.65795e-05	0.00227347	0.00122744	0.00231017	0.0102694	0.0019515	0.00542451	0.013306	0.816951	0.145661
ω	0.000543829	0.000400224	0.00101609	0.000168307	0.00044338	0.00733488	0.000701	0.0023353	0.00105588	0.738929	0.247072
</S>	7.05705e-05	8.05447e-06	0.00210793	0.00150483	0.0017813	0.00466325	0.00354773	0.0157187	0.00993377	0.432703	0.52796
