 	je	l'	ai	payé	pour	le	travail	qu'	il	a	fait	</S>
n	0.786958	0.100259	0.0213089	0.0147158	0.0199031	0.0203264	0.0186154	0.01493	0.00183616	0.000928328	0.000137626	8.0672e-05
g	0.983898	0.0117743	0.00361126	0.000379039	9.18158e-05	0.0001693	2.12513e-05	3.70636e-05	6.64886e-06	5.90832e-06	3.68317e-06	1.51787e-06
á	0.878296	0.0640073	0.0379768	0.0149103	0.00184423	0.00149083	0.000415666	0.000435856	0.000191616	0.000109187	0.000293111	2.91358e-05
í	0.0427168	0.253529	0.32316	0.134865	0.0355046	0.0279491	0.0132409	0.0229332	0.0202111	0.019409	0.0147935	0.0916879
f	0.0248159	0.215502	0.269928	0.45117	0.00854938	0.00321155	0.00126332	0.000521549	0.00136992	0.00358026	0.00685646	0.0132309
u	0.00150141	0.114372	0.222785	0.5475	0.0292938	0.010972	0.00616697	0.00131001	0.00583549	0.00853358	0.0275784	0.0241514
r	0.00209995	0.02364	0.0423438	0.867415	0.0281892	0.0151749	0.00537149	0.000803822	0.000796112	0.0011252	0.00384735	0.00919298
u	0.0126402	0.139435	0.238271	0.565015	0.0213723	0.00903904	0.00231802	0.00278466	0.00275965	0.00167715	0.00217237	0.00251569
w	0.0158794	0.127512	0.352845	0.124894	0.158546	0.126027	0.0331873	0.0239716	0.0125532	0.0117972	0.00270651	0.0100808
a	0.0104693	0.0595841	0.120667	0.152148	0.192767	0.172087	0.0986264	0.0852103	0.0712594	0.011909	0.00882067	0.0164507
m	0.00308275	0.0211968	0.040931	0.0432161	0.272589	0.244148	0.197874	0.107062	0.0425665	0.00794065	0.00356495	0.0158289
í	0.000489634	0.00615954	0.0110458	0.0322077	0.504515	0.110706	0.0375934	0.133531	0.059347	0.0162045	0.00368926	0.0845111
s	0.00203337	0.00966468	0.00880229	0.0276705	0.201447	0.20771	0.412714	0.0497155	0.0429063	0.00575935	0.0167955	0.0147813
á	0.00121923	0.00527256	0.0120752	0.0626029	0.129676	0.331858	0.297146	0.0606571	0.0218666	0.00607172	0.0277942	0.0437611
l	0.000131577	0.00116346	0.00331812	0.00542576	0.0508393	0.193241	0.421301	0.176441	0.0751112	0.0163046	0.0166054	0.040117
a	0.000536466	0.00417137	0.00976874	0.0169429	0.0671035	0.216171	0.422864	0.0950753	0.0701851	0.0209905	0.0182373	0.057954
l	5.60808e-05	0.00157974	0.00340039	0.00470194	0.0327483	0.115859	0.500668	0.149082	0.091502	0.0355759	0.0378906	0.0269356
í	0.000940234	0.00375985	0.00870489	0.0123729	0.0304362	0.102193	0.298613	0.0723831	0.116245	0.0619152	0.126064	0.166373
í	0.000385761	0.00234016	0.00564357	0.00164286	0.0140121	0.0796797	0.317384	0.173363	0.19842	0.104461	0.0678272	0.0348414
k	0.000328813	0.00425619	0.00762132	0.0152144	0.0141442	0.0323153	0.0561531	0.0314005	0.125714	0.403537	0.231228	0.0780874
y	0.000102071	0.00258051	0.00425292	0.00781283	0.0183546	0.0328033	0.0936162	0.00619768	0.0519162	0.0355572	0.60402	0.142786
é	0.000159429	0.00229181	0.00393887	0.00886218	0.0244232	0.0434685	0.0825786	0.011474	0.0870197	0.0728095	0.382534	0.28044
w	0.000254034	0.000729989	0.00147854	0.00108851	0.00438568	0.011723	0.0199467	0.0155825	0.0809222	0.119159	0.305981	0.438749
a	0.0010626	0.00151179	0.00506892	0.00181268	0.0170795	0.0560492	0.05056	0.163729	0.260407	0.110609	0.131541	0.200569
</S>	0.000964164	0.00133997	0.00221589	0.000963044	0.00502858	0.0166831	0.0275357	0.102544	0.118879	0.247798	0.185375	0.290674
