 	son	panier	bourré	</S>
l	0.74908	0.24726	0.00250245	0.00115729
e	0.644701	0.307027	0.0191508	0.029121
n	0.114657	0.817531	0.0112068	0.0566047
g	0.111209	0.772962	0.0137741	0.102055
ó	0.0296274	0.955859	0.00218952	0.0123241
l	0.0511659	0.687707	0.0676034	0.193523
ó	0.198029	0.541962	0.103042	0.156967
l	0.283434	0.311339	0.239866	0.165362
á	0.392219	0.153006	0.137628	0.317147
w	0.754171	0.161311	0.0528622	0.031656
a	0.358836	0.332264	0.203105	0.105795
í	0.091582	0.117094	0.484867	0.306457
d	0.0621079	0.0457921	0.539564	0.352536
í	0.00810241	0.0017089	0.216783	0.773406
i	0.0163449	0.00515677	0.321175	0.657323
k	0.0345725	0.0222307	0.26212	0.681077
í	0.0118013	0.017685	0.429913	0.540601
á	0.0392995	0.0176134	0.285201	0.657886
k	0.0249133	0.01099	0.256876	0.707221
i	0.0436185	0.0209326	0.401763	0.533686
a	0.0116478	0.00475339	0.280203	0.703396
</S>	0.050525	0.0544817	0.334653	0.56034
