 	il	a	failli	mourir	de	cette	grave	maladie	</S>
w	0.932183	0.0546508	0.00278926	0.00118954	0.00130408	0.00332628	0.00267661	0.00183911	4.15368e-05
a	0.887785	0.066047	0.000210226	0.00414887	0.00518746	0.0145261	0.0134862	0.00846715	0.000141466
á	0.06636	0.85062	0.0297158	0.0288065	0.0145397	0.00667221	0.00190038	0.000688764	0.000696312
y	0.00196271	0.0428432	0.946837	0.00263168	0.00236689	0.0011355	0.0012591	9.04256e-05	0.000873293
é	6.98239e-05	0.00170788	0.996894	0.000165325	0.000166685	0.000184501	0.000308097	6.82625e-05	0.000435879
n	0.00382243	0.0341132	0.942227	0.00668158	0.0069255	0.00338997	0.00175078	0.000390187	0.000699089
g	0.00887059	0.0387808	0.93563	0.00405718	0.00439171	0.00328452	0.00327554	0.000261175	0.00144814
i	0.0331529	0.0875799	0.607794	0.0311203	0.0493895	0.0571233	0.052566	0.0273668	0.0539077
o	0.242047	0.137338	0.0307037	0.160896	0.174278	0.131469	0.0686585	0.00753871	0.0470697
w	0.00446539	0.0229851	0.0723473	0.379148	0.332193	0.129741	0.0308598	0.0185404	0.00971956
á	0.000273479	0.00547503	0.00135385	0.23132	0.512314	0.111099	0.0711272	0.0256645	0.0413731
m	0.00106343	0.0112657	0.00693151	0.294526	0.345965	0.0788173	0.0381549	0.00858605	0.21469
é	0.00244671	0.00236887	4.94575e-05	0.404847	0.395788	0.132557	0.0168122	0.00435287	0.0407779
b	0.00362255	0.00827557	0.0085699	0.174213	0.229356	0.247073	0.167158	0.0666898	0.0950423
v	0.00350636	0.00225258	4.61491e-05	0.0438297	0.163987	0.157928	0.304708	0.14592	0.177822
u	0.000513126	0.000390457	4.59965e-05	0.0331051	0.198912	0.145165	0.322384	0.177999	0.121486
s	6.72163e-05	0.00019677	4.14319e-05	0.0149811	0.115077	0.419232	0.329123	0.0586415	0.0626396
u	0.00127283	0.000579266	0.000211725	0.00909361	0.0668105	0.283956	0.193567	0.109194	0.335315
y	8.58896e-05	0.000591416	0.000367209	0.0150985	0.0343168	0.133004	0.337407	0.164622	0.314508
í	0.00352057	0.0119001	0.00674919	0.0135794	0.04911	0.30036	0.399383	0.127218	0.0881803
i	0.000610003	0.000995189	0.00113081	0.000723932	0.00482301	0.0475992	0.318805	0.559797	0.0655162
</S>	8.06074e-05	0.000637042	0.00026073	0.00860595	0.0196714	0.080485	0.209567	0.368402	0.312291
