 	nous	sommes	au	terme	du	procès	</S>
l	0.336282	0.434302	0.105334	0.0422108	0.079392	0.00158928	0.000889454
e	0.00268391	0.492128	0.206503	0.253652	0.0317317	0.00461517	0.00868549
b	0.00585078	0.430591	0.272577	0.106398	0.0350404	0.111644	0.0378987
h	0.0573383	0.565865	0.188799	0.0886168	0.00788135	0.0492859	0.0422131
i	0.022116	0.560939	0.260282	0.105334	0.00520018	0.0203218	0.0258073
m	0.00416546	0.40709	0.427371	0.106468	0.0278697	0.00217204	0.0248638
o	0.028137	0.323164	0.294107	0.188216	0.0723485	0.0419531	0.0520746
s	0.0283957	0.267538	0.264668	0.199543	0.139761	0.0266475	0.0734467
ú	0.0118081	0.0952754	0.217679	0.342037	0.199195	0.0952391	0.0387661
ú	0.00246438	0.0266829	0.106592	0.430845	0.346856	0.0416998	0.04486
l	0.00198622	0.0734042	0.154291	0.38838	0.262463	0.0346148	0.0848613
u	0.00531293	0.124506	0.173516	0.239949	0.154818	0.0663855	0.235513
m	0.00267396	0.0209766	0.0628317	0.104927	0.675618	0.0778407	0.0551326
í	0.0231054	0.0163239	0.0234836	0.161774	0.0992232	0.368864	0.307226
b	0.0033304	0.030964	0.0626793	0.225561	0.163944	0.35989	0.153632
á	0.00313913	0.0646706	0.101949	0.279592	0.0836481	0.353439	0.113562
n	0.0110194	0.011231	0.0236426	0.0341422	0.0911415	0.511744	0.317079
d	0.000364397	0.0108457	0.0212238	0.121239	0.120297	0.303116	0.422914
z	0.000223398	0.00524947	0.0106492	0.0715714	0.161736	0.401255	0.349316
á	1.942e-05	0.00154706	0.00546877	0.0881358	0.0321055	0.360699	0.512024
</S>	3.26109e-05	0.00160532	0.00359648	0.0288689	0.0483268	0.0635365	0.854033
