 	la	fraîcheur	provoque	les	maladies	</S>
p	0.687404	0.302495	0.00743425	0.00217754	0.000429414	6.01355e-05
y	0.0799853	0.901869	0.00687419	0.00354547	0.00734424	0.000382081
έ	0.0327743	0.923384	0.0244928	0.00607488	0.00613253	0.00714102
b	0.128887	0.670639	0.0180353	0.00710723	0.0301559	0.145175
h	0.0456959	0.752145	0.0777154	0.0225129	0.00907068	0.09286
i	0.219876	0.569531	0.117486	0.0398596	0.00698448	0.0462631
y	0.266206	0.118034	0.462178	0.0939419	0.00112332	0.0585162
é	0.763153	0.0235664	0.142679	0.0364979	0.00121037	0.0328935
e	0.438554	0.0235659	0.321882	0.113077	0.0194731	0.0834476
s	0.0160915	0.0390682	0.629039	0.257247	0.00896354	0.0495915
á	0.00828881	0.00413488	0.284462	0.559212	0.00997613	0.133926
á	0.00769536	0.00297001	0.190842	0.269415	0.0249356	0.504142
a	0.0313259	0.00726159	0.254289	0.469524	0.164872	0.0727273
n	0.0104782	0.012337	0.149675	0.305102	0.414984	0.107424
g	0.0125549	0.00237441	0.112492	0.270529	0.438461	0.163589
a	0.00225824	0.00116691	0.106725	0.137413	0.704167	0.04827
a	0.000694974	0.000762739	0.0395057	0.160328	0.337495	0.461213
</S>	0.00504144	0.00177623	0.0319121	0.230698	0.135413	0.595159
