 	okoumou	est	en	train	de	clôturer	sa	parcelle	</S>
o	0.965448	0.0324591	0.00141967	5.2168e-05	0.000128278	3.03742e-05	0.000293102	9.80212e-05	7.11244e-05
k	0.945577	0.0490152	0.00207101	0.000261237	0.0006099	0.000251618	0.000324799	0.000518575	0.001371
ú	0.883239	0.0974058	0.00368167	0.000476894	0.00111545	0.000130878	0.00154997	0.00946324	0.00293683
m	0.671113	0.213775	0.0579323	0.000346804	0.0065873	0.000673951	0.00494296	0.0199764	0.0246519
ú	0.966611	0.0217182	0.00541444	0.000769044	0.000600985	7.54701e-05	0.00160321	0.000253738	0.0029542
b	0.0194069	0.362855	0.465009	0.0178755	0.0773364	0.00619841	0.0121953	0.00173674	0.0373861
ó	0.0121548	0.178078	0.501071	0.130153	0.092478	0.0293593	0.0342415	0.00147663	0.0209882
l	0.00330484	0.0757453	0.587446	0.208261	0.101173	0.00619462	0.010617	0.00138628	0.00587209
á	0.00539979	0.0772312	0.15191	0.0467405	0.26302	0.0523831	0.06263	0.0248874	0.315798
a	0.0144315	0.105143	0.195158	0.0349192	0.393796	0.0809476	0.0608865	0.0163549	0.0983627
b	0.00587442	0.0067477	0.00898057	0.0017154	0.839178	0.0734672	0.0279805	0.02131	0.0147467
h	0.000991331	0.00358762	0.00555922	0.0077609	0.526083	0.329947	0.108783	0.00414001	0.0131477
á	0.000607708	0.000237553	0.000862849	0.00515455	0.310192	0.667981	0.00782365	0.00208123	0.00505892
n	0.00114994	0.00134417	0.00781129	0.00334217	0.20599	0.434863	0.0301535	0.115344	0.200001
g	0.000724754	0.0013725	0.00329301	0.000321272	0.174053	0.466229	0.269478	0.0452031	0.0393252
á	0.00116756	0.00359813	0.0175445	0.00352869	0.212915	0.247071	0.136382	0.128078	0.249715
e	0.000859618	0.00111156	0.000919299	0.000103794	0.0156025	0.00784692	0.511004	0.408137	0.0544149
f	0.000312216	0.000223192	7.27538e-05	8.82039e-06	0.00497366	0.00155519	0.0413303	0.925992	0.0255321
u	0.000187915	0.000171606	0.000123633	1.0365e-05	0.00381061	0.00265025	0.0235468	0.903385	0.0661138
n	0.000283239	0.000104949	0.000520188	4.56149e-05	0.00348744	0.00299192	0.0329867	0.746551	0.213029
d	0.000973058	0.00130724	0.000729399	5.23833e-05	0.00995746	0.00619811	0.0791234	0.785816	0.115843
u	0.000246231	0.0023709	0.00765257	0.000153513	0.0294809	0.0211899	0.171514	0.607042	0.160351
</S>	0.00147099	0.0036152	0.00464351	0.000134819	0.00915391	0.000907028	0.246393	0.157623	0.576059
