 	le	bébé	pleure	</S>
ω	0.88036	0.119543	1.69549e-05	7.90803e-05
n	0.295848	0.663301	0.0270416	0.0138102
y	0.142321	0.789311	0.0313735	0.0369953
á	0.344748	0.640528	0.00570267	0.00902136
m	0.129334	0.559085	0.0769914	0.234589
a	0.441555	0.502607	0.0223602	0.0334776
m	0.271097	0.473614	0.119504	0.135785
ó	0.347686	0.300951	0.128426	0.222936
o	0.608356	0.306852	0.033038	0.0517536
l	0.0184797	0.0342584	0.922967	0.0242946
e	0.00566612	0.016116	0.955144	0.0230736
a	0.097896	0.111678	0.487404	0.303022
</S>	0.0421311	0.0707267	0.0271929	0.859949
