 	il	a	planté	des	caféiers	le	long	de	l'	allée	qui	mène	à	la	maison	</S>
w	0.901203	0.0426279	0.00325057	0.0168621	0.00256929	0.00573458	0.00267966	0.00515339	0.00779949	0.00631925	0.00354537	7.88233e-05	0.000637362	0.00145442	2.90741e-05	5.56401e-05
a	0.918669	0.0284688	0.00119442	0.0206901	0.00014663	0.00630363	0.00176645	0.00924697	0.00694692	0.00109864	0.00201178	2.05407e-05	0.000651201	0.0027603	1.5229e-05	8.97899e-06
á	0.0834899	0.53085	0.213197	0.0360563	0.000700147	0.00700208	0.00259707	0.00864977	0.0127446	0.0129393	0.0713381	0.00520635	0.00717208	0.00430833	0.000511205	0.00323877
m	0.0219942	0.354693	0.356929	0.11459	0.0189474	0.0195919	0.016009	0.00813727	0.00801284	0.0047502	0.0167817	0.0214752	0.011207	0.00413132	0.00247767	0.0202723
i	0.00408898	0.154962	0.477029	0.273316	0.0443902	0.013381	0.00488441	0.0035249	0.00265469	0.00118266	0.00535336	0.00381569	0.0033429	0.000825462	6.94524e-05	0.00717848
p	0.00280877	0.0528225	0.787609	0.114235	0.0172786	0.00249973	0.0014517	0.00102136	0.00114374	0.000973369	0.00104382	0.00864798	0.00142893	0.000267852	0.000223927	0.00654384
i	0.00104307	0.0438526	0.337264	0.301943	0.168902	0.00651997	0.0117323	0.00420366	0.00918399	0.0124981	0.00709729	0.0516988	0.00969994	0.00225812	0.0017989	0.0303043
á	0.00151519	0.0764857	0.32952	0.433805	0.133638	0.00318176	0.00157283	0.00162766	0.0035794	0.00384921	0.00264988	0.00524904	0.00151758	0.000274694	0.000108986	0.00142528
i	0.0164223	0.0375333	0.059235	0.471894	0.271214	0.0405543	0.0134235	0.0148841	0.0176279	0.0125492	0.01165	0.00411964	0.0108711	0.00985476	0.00410792	0.00405917
k	0.00173278	0.00301989	0.00890414	0.244604	0.6021	0.0298809	0.0422704	0.0124483	0.0151362	0.0126419	0.00279459	0.00425918	0.00428146	0.00317635	0.0074923	0.00525786
a	0.000286472	0.000523264	0.00250853	0.025024	0.914333	0.0079154	0.0305874	0.00570607	0.0050256	0.00149283	0.000134952	0.00222241	0.000627667	0.000266616	0.000746085	0.00259988
f	6.75046e-05	0.000220464	0.00108654	0.0131071	0.920703	0.00618251	0.024699	0.0100564	0.00789618	0.00149963	0.000331111	0.00214154	0.00193291	0.000465083	0.000412639	0.0091985
é	0.000156646	0.000675184	0.00467044	0.0262625	0.879273	0.0225211	0.013677	0.0113402	0.00841657	0.00350008	0.0011187	0.00525148	0.00439146	0.00120461	0.000576116	0.0169652
m	0.00323989	0.00737396	0.0107636	0.0635274	0.537305	0.110153	0.080708	0.0425558	0.0287837	0.0219549	0.00916191	0.00438605	0.0137463	0.00258839	0.000994885	0.0627571
ó	0.00286017	0.000612501	0.00208171	0.0207669	0.0494252	0.254664	0.05027	0.172524	0.184507	0.172633	0.0266569	0.00170023	0.00662378	0.0147856	0.00489887	0.0349895
k	0.00303395	0.00307328	0.00478513	0.0137558	0.023965	0.0979348	0.350323	0.142998	0.156635	0.145284	0.0134417	0.0201285	0.00515112	0.00131402	0.00920515	0.00897233
ó	0.000786188	0.000607798	0.00138222	0.00964378	0.188011	0.0210531	0.468575	0.0864055	0.0865524	0.0643132	0.00194298	0.0206889	0.00815868	0.00127868	0.00401869	0.0365821
ó	0.000735013	0.00155331	0.00223043	0.0107107	0.0968906	0.0358186	0.411142	0.0896453	0.0986962	0.0987981	0.0168932	0.0509203	0.0214451	0.00142784	0.000995705	0.0620978
y	0.00181165	0.00585981	0.00613331	0.00977346	0.0112596	0.123024	0.0929917	0.252618	0.171917	0.134957	0.135669	0.0110456	0.0123595	0.0043657	0.00143723	0.0247791
ε	0.0119384	0.0193606	0.00693812	0.0128346	0.0100788	0.0901255	0.0965501	0.0917936	0.171525	0.325371	0.108395	0.0127501	0.00643377	0.0121901	0.0086477	0.0150674
ε	0.00052599	0.000794939	0.00401394	0.00161779	0.000490763	0.0241811	0.0402369	0.0818664	0.179069	0.358441	0.139769	0.034641	0.00879069	0.0354133	0.0667837	0.0233639
d	0.000344799	0.0037643	0.0150802	0.0250779	0.0110547	0.0415322	0.118913	0.116734	0.10934	0.114988	0.0501651	0.305144	0.0369937	0.00731691	0.0110114	0.03254
z	8.31546e-05	0.002952	0.0337208	0.0137558	0.00575079	0.0407579	0.0622494	0.076039	0.134159	0.0661291	0.0264656	0.459608	0.0314678	0.0103918	0.00780278	0.0286668
w	0.0003788	0.00125173	0.0156982	0.0117201	0.003815	0.0496428	0.0291607	0.0316642	0.105765	0.301455	0.0369657	0.34815	0.0260564	0.0118019	0.0110087	0.0154658
