 	pourquoi	tu	me	gardes	rancune	</S>
t	0.944242	0.0406134	0.00296456	0.00698606	0.00488313	0.000311213
s	0.360187	0.410003	0.121798	0.0457675	0.0397007	0.0225443
í	0.260223	0.129637	0.134284	0.324633	0.0938872	0.0573356
n	0.736771	0.0559312	0.0135233	0.0767813	0.0320633	0.0849303
a	0.62882	0.241292	0.0236706	0.00170954	0.00203666	0.102471
n	0.374554	0.31943	0.209115	0.0416245	0.0237018	0.0315741
d	0.185632	0.0987778	0.522597	0.0018311	0.0016604	0.189501
e	0.0832568	0.395374	0.505803	0.000187935	0.000244082	0.0151346
n	0.0499132	0.129046	0.723907	0.00540893	0.00176909	0.0899557
ω	0.119523	0.116525	0.655181	0.00643119	0.00176196	0.100579
o	0.0380368	0.111333	0.617779	0.0503964	0.0272856	0.155168
d	0.00161058	0.0017725	0.0718516	0.835985	0.0553	0.0334805
í	0.00678826	0.00653285	0.146323	0.321367	0.0188908	0.500098
l	0.00436155	0.00224838	0.0704058	0.35994	0.134373	0.428671
e	0.00417672	0.00772144	0.14403	0.12306	0.273854	0.447157
k	0.00254983	0.00152498	0.0509356	0.0979619	0.42818	0.418848
í	0.000115362	0.000108195	0.000794437	0.184348	0.78558	0.0290539
b	0.000320251	0.00265155	0.00748402	0.12374	0.718662	0.147142
h	0.00131925	0.000826906	0.00562673	0.492905	0.385001	0.114321
a	0.000720073	0.000140269	0.00337638	0.292464	0.448334	0.254965
l	0.000791414	0.000301711	0.00451337	0.0691056	0.296323	0.628965
a	0.00209893	0.000562182	0.0285	0.0365035	0.100208	0.832128
n	0.0100008	0.00153738	0.0260936	0.0193651	0.134564	0.808439
g	0.087086	0.0599308	0.421328	0.00489048	0.0551272	0.371638
á	0.0126657	0.0802357	0.464614	0.00284513	0.0523832	0.387256
</S>	0.00231195	0.000581827	0.0148035	0.0150904	0.143006	0.824206
