 	ta	manière	de	transvaser	renverse	la	boisson	</S>
e	0.0826059	0.187776	0.338242	0.269779	0.0669471	0.0457555	0.00193184	0.00696283
k	4.13054e-05	0.000881435	0.00436793	0.0627317	0.460979	0.0746797	0.376109	0.0202106
a	0.000143102	0.00134326	0.011768	0.286936	0.531052	0.0868336	0.0537356	0.0281884
l	0.000286168	0.042494	0.0466123	0.277894	0.29236	0.14148	0.0379648	0.16091
í	0.0154061	0.192751	0.0568477	0.130648	0.154297	0.18708	0.0511352	0.211836
s	0.01253	0.0371931	0.180541	0.203525	0.128767	0.344171	0.0598045	0.0334688
í	0.00592	0.0301555	0.00481373	0.00828949	0.0401017	0.0812874	0.295966	0.533466
l	0.405845	0.191899	0.148102	0.0617976	0.0459828	0.0906098	0.0218384	0.0339247
í	0.172113	0.142638	0.210081	0.0688977	0.0659865	0.032434	0.119584	0.188265
y	0.155327	0.227149	0.196038	0.200013	0.0832087	0.0754076	0.0304836	0.0323744
á	0.39553	0.145501	0.0985201	0.0690586	0.0746309	0.0349712	0.129005	0.052783
n	0.26872	0.0265573	0.144143	0.175555	0.192432	0.0945631	0.062477	0.0355521
ω	0.418285	0.0323188	0.116977	0.254488	0.0118669	0.0735543	0.0411886	0.0513214
y	0.0213355	0.0449686	0.106164	0.134634	0.0568473	0.166277	0.11772	0.352054
í	0.143818	0.0961706	0.182567	0.157083	0.171114	0.138313	0.0656242	0.0453106
i	0.303054	0.0206627	0.237587	0.129803	0.0707731	0.188129	0.0343183	0.0156727
y	0.00104604	0.00657631	0.00646305	0.0343284	0.081894	0.161702	0.405828	0.302161
é	0.0104423	0.00417712	0.0175863	0.027468	0.0533449	0.108856	0.662841	0.115285
e	0.00221936	0.00164116	0.0144579	0.0266169	0.0808967	0.162697	0.37408	0.33739
p	0.0032528	0.0102629	0.0612805	0.0544691	0.0441622	0.166261	0.164636	0.495675
f	0.00183916	0.00650201	0.0451088	0.0984571	0.190117	0.289889	0.100782	0.267304
u	0.00253696	0.0102396	0.036015	0.0787018	0.123964	0.338156	0.0739875	0.336399
u	0.00254986	0.00432713	0.0282013	0.0419037	0.0316323	0.250156	0.105004	0.536226
s	0.00108062	0.00403717	0.0197981	0.0236983	0.0133088	0.226581	0.0550229	0.656473
á	0.0249301	0.0338967	0.0405051	0.0461642	0.0282312	0.282415	0.136833	0.407024
a	0.0352899	0.0179983	0.121872	0.058413	0.0209446	0.266985	0.11045	0.368047
l	0.00929136	0.0243386	0.0206409	0.0317132	0.0169574	0.121545	0.275904	0.49961
ω	0.0070974	0.0315075	0.0209076	0.0144712	0.0186849	0.0444926	0.22478	0.638059
i	0.00084858	0.00366546	0.0102154	0.0112722	0.0106056	0.114708	0.285393	0.563293
</S>	0.0021695	0.00999054	0.0238688	0.0134613	0.00697805	0.108708	0.084011	0.750813
