 	as-tu	l'	habitude	de	manger	du	pain	</S>
n	0.689288	0.118336	0.0639509	0.101898	0.00509936	0.0189186	0.00145416	0.00105513
ω	0.960828	0.0207469	0.0061856	0.00876546	0.000606723	0.00255438	0.000240311	7.23777e-05
l	0.181905	0.56523	0.147	0.0518351	0.0133973	0.0122244	0.0146065	0.0138016
ó	0.0352734	0.136082	0.103398	0.0404917	0.0634633	0.0338913	0.0321124	0.555288
o	0.168339	0.220233	0.277515	0.156844	0.0333235	0.0272528	0.0168237	0.0996696
d	0.00341528	0.297843	0.404967	0.0784936	0.193375	0.0106979	0.00394854	0.0072592
z	0.000802133	0.15734	0.292222	0.0401913	0.494914	0.00338566	0.0028262	0.00831903
á	0.0397469	0.212449	0.303264	0.0913101	0.326831	0.00817381	0.0124729	0.0057517
á	0.00215966	0.0190537	0.131099	0.240102	0.214875	0.105367	0.077222	0.210122
m	0.0115787	0.0253601	0.105302	0.411879	0.135209	0.270593	0.032328	0.00775113
á	0.000674685	0.00968076	0.0361464	0.0581902	0.553078	0.0353739	0.226852	0.0800035
p	0.0101161	0.0119699	0.0407633	0.163104	0.250706	0.154996	0.347665	0.0206796
a	0.00275432	0.00830909	0.0337992	0.0958952	0.18464	0.112431	0.492411	0.0697604
</S>	0.000464549	0.00578533	0.0287497	0.0666127	0.0953421	0.168505	0.413879	0.220662
