 	jésus	avait	fait	tant	de	miracles	</S>
y	0.408765	0.542046	0.0440543	0.0020982	0.00231745	0.000541383	0.00017823
e	0.77555	0.19891	0.00745068	0.00301492	0.00170749	0.00713495	0.00623237
s	0.554884	0.414585	0.0147831	0.00511278	0.00206651	0.00357288	0.0049957
ú	0.859547	0.0429902	0.0078189	0.016137	0.00256433	0.0179342	0.0530079
á	0.31933	0.177986	0.213502	0.0568419	0.0374596	0.022389	0.172492
k	0.0298905	0.049924	0.486666	0.300086	0.0727837	0.0112249	0.0494247
y	0.00140867	0.0283427	0.37039	0.508015	0.0407293	0.00795642	0.0431578
á	0.00704188	0.0320308	0.17218	0.751372	0.0209743	0.00897602	0.00742473
i	0.0299978	0.209135	0.32125	0.250352	0.0288508	0.0105871	0.149828
n	0.000454418	0.00543327	0.201453	0.557262	0.152661	0.0217271	0.0610088
d	0.0276094	0.0515838	0.340897	0.190911	0.218045	0.00873355	0.162219
z	0.0121783	0.0587559	0.134941	0.439904	0.145357	0.0242111	0.184652
é	0.109529	0.0354813	0.0830024	0.189219	0.145573	0.233982	0.203213
é	0.0633691	0.0432732	0.234958	0.138696	0.232926	0.0671081	0.21967
i	0.00341335	0.0186064	0.255246	0.0752583	0.558614	0.0126396	0.0762218
y	0.000674169	0.00164769	0.0437147	0.207705	0.286467	0.218577	0.241214
í	0.0196427	0.00117642	0.0424242	0.380668	0.128881	0.232917	0.194291
í	0.0138576	0.00169588	0.0268087	0.0969448	0.107891	0.112741	0.640061
w	0.00253418	0.00411101	0.0410372	0.0382466	0.378067	0.135015	0.400989
a	0.00874785	0.0177674	0.0543876	0.069039	0.268536	0.313219	0.268303
m	0.00361954	0.00135275	0.00959682	0.0121549	0.219154	0.102183	0.65194
é	0.00624881	0.00256209	0.00361455	0.00345306	0.158	0.392903	0.433218
n	0.00108375	0.00372328	0.0158293	0.00940851	0.351835	0.406848	0.211273
d	0.00441562	0.00296753	0.0174145	0.018459	0.136836	0.0880212	0.731886
e	0.00331044	0.00161885	0.00344612	0.00595383	0.0385999	0.0400212	0.90705
</S>	0.000345589	0.000308818	0.00523629	0.0130324	0.0470853	0.0238049	0.910187
