 	j'	ai	la	nausée	</S>
n	0.891778	0.0456266	0.056374	0.0052225	0.000998438
g	0.997066	0.00193647	0.000904287	7.74745e-05	1.58247e-05
á	0.92699	0.06577	0.00490548	0.0022492	8.55793e-05
m	0.044732	0.0739853	0.441613	0.416541	0.0231295
w	0.00522464	0.0502599	0.0237156	0.905612	0.0151881
ε	0.0225845	0.0150728	0.00289773	0.957243	0.00220206
m	0.00196599	0.0170552	0.0234495	0.941423	0.0161066
ó	0.00673461	0.00889044	0.0475345	0.396874	0.539966
o	0.0735367	0.0681423	0.221975	0.225607	0.41074
y	0.0023495	0.143239	0.252797	0.0614878	0.540127
ε	0.00380631	0.0975126	0.152278	0.45114	0.295262
l	0.000702969	0.0145021	0.104351	0.168559	0.711885
ε	0.021155	0.120337	0.312098	0.109036	0.437374
</S>	0.00147855	0.0165759	0.247842	0.020719	0.713385
