 	il	a	besoin	d'	argent	pour	le	voyage	</S>
w	0.886526	0.0739058	0.00866708	0.0208249	0.00591166	0.0019709	0.00180986	0.000287623	9.57193e-05
a	0.881378	0.0548302	0.00289155	0.0450235	0.0086357	0.00188961	0.00444308	0.000856566	5.15425e-05
a	0.283319	0.592787	0.0371891	0.0410477	0.0210271	0.00928168	0.0109003	0.000856103	0.00359185
d	0.0703436	0.624953	0.186357	0.0264903	0.0151963	0.0262388	0.0207443	0.00922605	0.0204502
í	0.0288975	0.555603	0.272961	0.0347185	0.0135595	0.0127331	0.00401789	0.00369567	0.0738131
l	0.0427162	0.156145	0.348843	0.113367	0.0194707	0.0441004	0.0356729	0.0177327	0.221952
a	0.0748292	0.111039	0.343885	0.217474	0.0827067	0.0314206	0.0138628	0.00467273	0.12011
p	0.0354762	0.0864334	0.52014	0.169274	0.138013	0.0123568	0.0049586	0.00385891	0.0294897
ó	0.00888954	0.0675572	0.735905	0.0697424	0.0745289	0.0177507	0.00257541	0.00872718	0.0143238
s	0.00529047	0.0743596	0.652547	0.092451	0.0611693	0.0265853	0.0113219	0.00868573	0.0675894
á	0.00267888	0.0217778	0.73627	0.151672	0.0447843	0.0185029	0.00428703	0.004218	0.0158083
m	0.0533173	0.0269951	0.0631685	0.357709	0.270185	0.105654	0.0490532	0.0216579	0.0522603
b	0.0027776	0.00153812	0.00598027	0.177931	0.658466	0.115884	0.021399	0.00143747	0.0145864
ώ	0.000213732	0.000502579	0.00915771	0.123807	0.773289	0.0763283	0.00481382	0.00406653	0.00782072
n	0.00183622	0.0030339	0.0179639	0.200871	0.246829	0.430701	0.0316516	0.0114336	0.0556802
g	0.00404577	0.00695099	0.0372102	0.160645	0.337094	0.24387	0.0463592	0.0185134	0.145311
ω	0.00297719	0.00146779	0.00854152	0.105629	0.756259	0.0701435	0.00728806	0.00264239	0.0450511
m	0.00648756	0.00953527	0.0151081	0.0606311	0.0325412	0.445968	0.261413	0.0391654	0.12915
ó	0.00796704	0.00978852	0.0156306	0.112513	0.0657229	0.146221	0.263221	0.0444838	0.334453
i	0.00212283	0.0104592	0.0175937	0.0457926	0.0186149	0.130256	0.213308	0.468504	0.0933485
b	0.00186301	0.00573773	0.0315554	0.00726623	0.00390899	0.0343133	0.0430188	0.807686	0.0646506
h	0.000373812	0.00260313	0.0140912	0.00500054	0.0020534	0.0163868	0.0496194	0.88936	0.0205117
é	5.21046e-05	0.000420958	0.0080434	0.0014196	0.000991426	0.0102026	0.0205417	0.918397	0.0399309
m	1.81065e-05	0.000144646	0.00553893	0.00375724	0.00336716	0.0300625	0.0847789	0.584739	0.287594
b	0.000750115	0.00128619	0.0148316	0.0193463	0.0212562	0.0703835	0.129555	0.237012	0.505579
a	0.00439981	0.00167865	0.0288948	0.0755055	0.179682	0.109435	0.0573265	0.128198	0.41488
</S>	0.00253053	0.00440969	0.0226549	0.0232067	0.0121181	0.0481934	0.146457	0.157821	0.582609
