 	le	père	a	conseillé	son	fils	de	se	marier	avec	une	femme	de	la	même	tribu	</S>
t	0.566672	0.426025	0.00208164	0.000128665	0.000973185	0.00139845	0.00059715	0.000883186	8.17118e-05	0.000430542	0.000305054	7.58449e-06	5.91105e-05	0.00015791	0.000171266	1.93328e-05	8.09286e-06
á	0.0324843	0.960482	0.00183852	4.59411e-05	0.000355048	0.000265193	0.000310417	0.00040312	1.50538e-05	0.00028941	0.000284303	1.92888e-05	0.000340303	0.00147987	0.00123269	0.000105007	4.90559e-05
á	0.0344693	0.554657	0.125365	0.125772	0.0240693	0.0101314	0.0107166	0.0163464	0.0143298	0.0185108	0.00856292	0.00642213	0.0152095	0.0139262	0.00548741	0.00450288	0.0115217
á	0.157227	0.076239	0.533488	0.0687905	0.0326927	0.0106337	0.0162417	0.0131636	0.00559611	0.0144548	0.0029706	0.0056401	0.0110585	0.00588058	0.00715829	0.000642387	0.0381222
p	0.00418295	0.00512332	0.268053	0.669036	0.0113747	0.00263586	0.00413268	0.00426515	0.00505194	0.00325971	0.00350888	0.00430029	0.00467552	0.0023083	0.00233595	0.00108232	0.00467379
έ	0.00247623	0.00216798	0.0543357	0.837368	0.032735	0.0016349	0.0193852	0.00698056	0.00505181	0.00739329	0.0123378	0.00178357	0.00556945	0.00333487	0.00175328	0.00182674	0.00386549
ε	0.021059	0.00421371	0.0508899	0.728928	0.0639353	0.00787142	0.0204079	0.0119607	0.0167565	0.0160673	0.00656673	0.00252501	0.00971813	0.0101099	0.00831788	0.00251437	0.0181585
m	0.0276816	0.00122727	0.0709098	0.0341388	0.410405	0.271601	0.0878001	0.0337707	0.00436776	0.0118588	0.00364178	0.00345866	0.00580777	0.00657587	0.0038165	0.00183964	0.0210984
w	0.00178647	0.000143505	0.00678373	0.000146911	0.0747728	0.87013	0.0195583	0.0107036	9.05793e-06	0.00371816	0.00125016	0.0084179	0.000837113	0.00072842	0.00026615	1.92388e-05	0.000728201
á	0.000714141	3.80692e-05	0.00203499	0.000741621	0.099848	0.862283	0.0127117	0.0119138	6.60086e-05	0.00174793	0.000989671	0.00261706	0.00125933	0.00144671	0.000264701	9.8076e-05	0.00122501
n	0.0393675	0.000105069	0.00777719	0.00136704	0.0987331	0.785501	0.0305085	0.0190071	0.000258646	0.00282404	0.000416023	0.00182467	0.00124224	0.00166687	0.0007944	5.71187e-05	0.00854926
a	0.0901624	0.0018422	0.0141205	0.000572301	0.366398	0.427259	0.0421066	0.00854444	0.000138806	0.00343231	0.00591331	0.00281336	0.00394534	0.0104454	0.0014802	7.25701e-05	0.0207527
