 	qui	vous	a	encouragé	dans	cette	voie	</S>
o	0.852428	0.106934	0.0170584	0.00808349	0.00788114	0.00664031	0.00043636	0.000538643
l	0.12062	0.124634	0.240303	0.434077	0.0156353	0.010028	0.0224066	0.0322967
ω	0.0313224	0.0383364	0.0647253	0.761982	0.0376057	0.00505012	0.0104411	0.0505366
n	0.0115181	0.0419425	0.0586106	0.776315	0.0339853	0.0148557	0.027766	0.0350069
d	0.138057	0.0306805	0.208685	0.396243	0.0584621	0.0257506	0.0176834	0.124439
i	0.281709	0.0105479	0.0540108	0.204493	0.0861646	0.0361252	0.00805506	0.318895
s	0.169413	0.0244087	0.167008	0.140198	0.328635	0.126921	0.00779677	0.0356188
i	0.134834	0.0418692	0.094625	0.234828	0.293587	0.125744	0.0111325	0.0633798
b	0.0327523	0.319111	0.143159	0.022965	0.290452	0.158987	0.0179215	0.0146523
í	0.0031515	0.881618	0.0153144	0.00906003	0.0333699	0.00972432	0.0434107	0.00435084
n	0.000230864	0.984714	0.00396809	0.000327485	0.00513611	0.00186399	0.00235852	0.00140081
í	0.0593509	0.154986	0.0106501	0.00382476	0.0947031	0.120555	0.0530393	0.50289
k	0.00369241	0.0102259	0.211982	0.194412	0.265083	0.146263	0.0904976	0.0778452
ó	0.00328311	0.00701077	0.0405967	0.481371	0.220358	0.0964123	0.102984	0.0479839
ó	0.000252244	0.00232985	0.0554135	0.161372	0.152105	0.222501	0.287108	0.118919
w	0.00494018	0.000366859	0.0565626	0.0232322	0.134572	0.22578	0.242791	0.311755
ú	0.00407169	0.00185672	0.0403241	0.127261	0.136603	0.281066	0.160785	0.248032
u	0.000491816	0.000126907	0.0139705	0.0595134	0.103466	0.271923	0.143706	0.406803
á	0.00497676	9.67572e-05	0.0169779	0.0313516	0.0509348	0.129717	0.0674255	0.69852
d	0.00432772	0.00186566	0.0261116	0.029007	0.0510184	0.162615	0.153165	0.57189
z	0.000791161	0.000104061	0.00681891	0.00567243	0.0351171	0.0457854	0.111292	0.794418
e	0.00381196	0.000262862	0.0200902	0.0380032	0.127981	0.310319	0.0940595	0.405473
n	0.00932156	0.000252442	0.00727712	0.0134051	0.114085	0.216832	0.0280276	0.610799
d	0.00163406	0.00167419	0.00207595	0.00627189	0.0449802	0.0850007	0.024768	0.833595
a	0.00172136	0.00117015	0.00201246	0.00260271	0.0140596	0.0367609	0.0270984	0.914575
</S>	0.000299596	7.38105e-05	0.00108194	0.00493411	0.0169615	0.0421404	0.0153098	0.919199
