 	l'	enfant	est	allé	réparer	l'	offense	auprès	de	son	père	au	village	</S>
m	0.90833	0.0842127	0.00418869	6.00865e-05	0.000465108	0.000208419	0.00109679	0.000266992	0.000384349	0.000414768	3.25136e-06	0.000269028	9.65959e-05	3.63295e-06
w	0.00813147	0.969045	0.00670015	0.00205722	0.0106615	0.00153894	0.000452768	3.97823e-05	0.000361339	0.000127287	1.47028e-05	0.000350874	1.51612e-05	0.000503428
á	0.00301013	0.994982	0.000129954	0.00100585	0.000760872	1.12311e-05	7.5823e-05	5.67927e-06	1.01706e-05	3.75971e-06	2.773e-07	4.38248e-07	2.99847e-06	8.26556e-07
n	0.392163	0.593856	0.00377509	0.000781288	0.00280694	0.000947907	0.00383552	0.000116079	0.000272287	8.84711e-05	5.25782e-05	2.972e-05	2.53432e-05	0.00124978
a	0.251552	0.541965	0.035313	0.0679841	0.0357978	0.0053745	0.00290409	0.000615201	0.00230127	0.0039559	0.00347474	0.000581474	0.000525629	0.0476553
á	0.334373	0.0295509	0.455034	0.0723372	0.00723539	0.01631	0.00371394	0.0127162	0.0103956	0.0139801	0.00477389	0.0148689	0.00136374	0.0233475
m	0.045057	0.0281485	0.520661	0.276264	0.030448	0.00696096	0.00135846	0.011691	0.00599511	0.00458362	0.02014	0.0170355	0.00746386	0.0241929
i	0.00301295	0.0115395	0.157669	0.710935	0.0901257	0.00802339	0.000813694	0.000857344	0.00219462	0.00149984	0.000670611	0.00226632	0.00021876	0.0101732
d	0.000560364	0.00482882	0.0327847	0.682505	0.270462	0.00132528	0.000101791	0.000162638	0.000454072	0.000409007	0.000258467	0.000620649	0.000619798	0.00490713
z	0.00134504	0.00165367	0.036111	0.752437	0.18428	0.004022	0.000243718	0.000189157	0.000735893	0.000605522	0.00138561	0.000729091	0.00324137	0.0130208
w	0.004528	0.00205209	0.00856468	0.954055	0.0300169	0.000355832	9.36369e-06	1.3119e-05	2.12908e-05	3.18275e-05	0.000193098	2.96217e-06	5.77834e-05	9.78439e-05
á	0.00149003	0.0080354	0.0311154	0.770223	0.144721	0.0256122	0.000297019	0.000331831	0.00172273	0.00376956	0.000165802	0.00104052	0.000124058	0.0113511
o	0.00367144	0.00130987	0.0911629	0.183075	0.28465	0.32494	0.038702	0.00839355	0.0212425	0.030662	0.000857199	0.00514369	0.00162962	0.00456069
b	0.00273513	0.0022734	0.0380635	0.0545561	0.218294	0.247579	0.167758	0.0718651	0.099337	0.03478	0.0115495	0.0113343	0.0111859	0.0286888
ω	0.002745	0.0016898	0.010505	0.00130817	0.0822947	0.0599564	0.327785	0.330144	0.1184	0.0247292	0.0033006	0.00401262	0.00272002	0.0304099
n	0.000124376	0.000175092	0.0107111	0.000515926	0.0723819	0.0654686	0.598867	0.147769	0.0543631	0.00730073	0.000984816	0.0045127	0.00130559	0.0355208
d	0.00403116	0.00234344	0.0202528	0.004703	0.173524	0.110942	0.0633527	0.274253	0.11623	0.0765262	0.0202927	0.0270181	0.00768126	0.0988492
ώ	0.00578116	0.00218404	0.0173118	0.00781438	0.325491	0.239605	0.0449757	0.0477234	0.0544406	0.0449585	0.0021744	0.0248987	0.00501764	0.177624
t	0.00492768	0.000112732	0.00956195	0.000448011	0.00735568	0.333953	0.0651621	0.102605	0.212221	0.228829	0.00177993	0.0226683	0.000410721	0.00996452
á	0.0154773	0.00014483	0.00114505	0.000482664	0.00152241	0.0103513	0.0320295	0.440774	0.0961914	0.0695606	0.279843	0.00599222	0.0152736	0.0312127
á	0.00417183	8.81366e-05	0.00241061	0.000703008	0.000302548	0.00794345	0.0294254	0.130155	0.087098	0.0758152	0.607666	0.00361274	0.0317359	0.0188715
ó	0.00297216	0.000837845	0.00964123	0.00324052	0.00277465	0.0354005	0.00732593	0.0503089	0.197318	0.275485	0.0890188	0.277268	0.00382981	0.0445786
p	0.00564633	0.00223147	0.01855	0.0047859	0.013943	0.0222431	0.0125314	0.0269464	0.138792	0.0781923	0.260631	0.258278	0.0766164	0.0806123
o	0.00013354	3.25347e-05	0.00145015	0.000343724	0.00103206	0.00260387	0.00153657	0.0134066	0.0341261	0.03915	0.524055	0.0320633	0.295408	0.0546594
o	0.000183064	5.94056e-06	0.00143338	0.000214534	0.000495564	0.0108876	0.00895718	0.0402343	0.0685307	0.0562559	0.435016	0.114329	0.180803	0.0826543
</S>	0.000230917	8.08752e-06	0.0013856	5.26237e-05	0.000154794	0.00357587	0.000734781	0.010033	0.0349672	0.0799451	0.0146951	0.634274	0.013072	0.206871
