 	sa	baguette	cassa	</S>
e	0.64384	0.215003	0.127418	0.0137395
k	0.058732	0.719525	0.208583	0.0131593
y	0.0484489	0.247185	0.465485	0.238881
é	0.061195	0.382841	0.370401	0.185563
n	0.120897	0.275652	0.302261	0.30119
i	0.340515	0.341138	0.129856	0.188491
y	0.452769	0.261348	0.180482	0.105401
á	0.615375	0.312444	0.0300576	0.0421231
w	0.525791	0.267494	0.137572	0.0691427
a	0.747755	0.0891306	0.068596	0.0945183
y	0.314251	0.0670541	0.109214	0.50948
á	0.53826	0.252802	0.0918835	0.117055
i	0.165652	0.119145	0.422465	0.292738
b	0.0215866	0.0604393	0.181505	0.736469
v	0.0226421	0.0336072	0.685724	0.258027
ú	0.00675901	0.00668779	0.768746	0.217807
a	0.129903	0.0838259	0.324106	0.462165
é	0.0396106	0.0340565	0.224424	0.701909
b	0.145616	0.187761	0.0818035	0.584819
v	0.0171833	0.102422	0.483976	0.396418
ú	0.032588	0.0190857	0.555298	0.393028
n	0.0523948	0.0803717	0.260229	0.607005
ú	0.0397154	0.089897	0.197258	0.673129
m	0.0489136	0.0173061	0.185809	0.747971
ú	0.242403	0.0378676	0.0122051	0.707525
</S>	0.0104519	0.0196462	0.031644	0.938258
