 	le	vrombissement	du	bateau	nous	parvient	</S>
l	0.457521	0.463789	0.0666519	0.00831861	0.00361455	1.72515e-05	8.77662e-05
o	0.284203	0.665771	0.0367804	0.00904843	0.00249367	0.00034911	0.00135415
b	0.0715856	0.883736	0.00796698	0.0236351	5.68192e-05	0.00196229	0.0110575
h	0.142832	0.457166	0.325312	0.0277392	0.00696897	0.0219111	0.0180699
ó	0.183794	0.578145	0.141588	0.0126421	0.0165602	0.0101463	0.0571242
l	0.173918	0.0779305	0.709188	0.0185092	0.00874591	0.00308886	0.00861927
á	0.190207	0.0613623	0.322204	0.0774418	0.0109938	0.0184562	0.319334
s	0.209553	0.0333428	0.228394	0.460516	0.0557807	0.00547858	0.00693556
ú	0.00663451	0.00701751	0.0215664	0.957225	0.00529462	0.000790945	0.00147072
a	0.0632252	0.00989366	0.119063	0.760753	0.011677	0.00315249	0.0322361
b	0.0553268	0.0141801	0.455456	0.378868	0.0396161	0.0289973	0.0275561
ó	0.11051	0.0291864	0.339129	0.0400684	0.037007	0.277053	0.167046
l	0.0143751	0.00283176	0.225705	0.0436826	0.211155	0.249143	0.253108
í	0.00991052	0.00330335	0.0849373	0.15808	0.100812	0.132623	0.510333
i	0.0176631	0.00214712	0.117583	0.123847	0.198724	0.277163	0.262873
y	0.0066645	0.00625586	0.0100837	0.0288872	0.0371251	0.607088	0.303896
a	0.00616554	0.00428838	0.0218418	0.212148	0.105254	0.233077	0.417226
a	0.0050215	0.000561966	0.0206264	0.0531077	0.139335	0.0967778	0.684569
</S>	0.00250121	0.000632294	0.0194527	0.0239595	0.623016	0.0554677	0.274971
