 	les	légumes	s'	épanouissent	avec	les	pluies	</S>
a	0.702332	0.251625	0.0324129	0.00318863	0.00529798	0.0030589	0.00199984	8.5053e-05
t	0.308822	0.563564	0.0504605	0.0549166	0.0135257	0.00332196	0.00397154	0.00141714
u	0.0924022	0.616471	0.0792475	0.158443	0.0286098	0.00294832	0.00795915	0.0139196
n	0.0774672	0.513542	0.126591	0.178195	0.0385259	0.012994	0.016576	0.0361097
g	0.252497	0.645425	0.0285074	0.0306968	0.0135424	0.0113262	0.00507746	0.0129283
u	0.16856	0.554631	0.0715885	0.114005	0.0171349	0.00838775	0.0224784	0.0432147
m	0.0437559	0.0439906	0.759281	0.03135	0.0648371	0.0284057	0.00115536	0.0272242
á	0.377084	0.148033	0.265303	0.07918	0.0448787	0.0389068	0.00735972	0.0392547
a	0.399424	0.120086	0.279487	0.0539828	0.0551949	0.0403354	0.00785914	0.0436309
p	0.0263921	0.0151097	0.305909	0.343616	0.194328	0.0505891	0.0184493	0.0456058
f	0.00100385	0.00202525	0.0216294	0.769592	0.176167	0.00589035	0.00952124	0.0141708
w	0.0043885	0.0029948	0.0125808	0.790526	0.154172	0.00904158	0.00605288	0.0202433
o	0.0253427	0.035931	0.0258851	0.497505	0.141363	0.0543585	0.0211339	0.198481
o	0.0269094	0.0439336	0.0660898	0.249042	0.355917	0.169819	0.0314881	0.0568005
b	0.00868552	0.00589812	0.0874802	0.0675927	0.38709	0.304929	0.0596879	0.0786369
h	0.00684615	0.00443046	0.0532851	0.151089	0.312577	0.105669	0.305602	0.0605001
á	0.00176857	0.000914141	0.00753123	0.248967	0.237603	0.0465113	0.391455	0.065249
l	0.00244796	0.00193343	0.00456109	0.0622964	0.154891	0.157167	0.21638	0.400323
a	0.00603024	0.00299434	0.00762122	0.0515777	0.216345	0.192883	0.157953	0.364595
m	0.00642342	0.00217632	0.0110082	0.00856575	0.104941	0.36365	0.31865	0.184586
b	0.0100444	0.00594928	0.00410683	0.00303634	0.0210889	0.276126	0.299453	0.380195
v	0.00162292	0.00100159	0.00151913	0.0075933	0.0248383	0.0796235	0.752122	0.131679
ú	0.000259267	0.00140005	0.00130946	0.00718792	0.0234641	0.0938167	0.643007	0.229556
á	0.00101417	0.00119869	0.00581327	0.0294815	0.0556319	0.0713292	0.107531	0.728
</S>	0.00222197	0.00279354	0.0196397	0.0075638	0.0568409	0.328682	0.0958111	0.486447
