 	les	légumes	qu'	elle	a	préparés	sont	mous	</S>
a	0.675784	0.293176	0.0212078	0.00488219	0.00288913	0.000663595	0.00103131	0.000252289	0.00011315
t	0.247358	0.69571	0.0317139	0.00414422	0.00157067	0.00373792	0.00251682	0.0107921	0.00245715
ú	0.0436341	0.795175	0.111707	0.0216419	0.00819216	0.000923289	0.00209192	0.00767539	0.00895912
n	0.0578833	0.564563	0.202927	0.0196958	0.0213678	0.0120212	0.0137654	0.0149275	0.0928491
g	0.484065	0.429083	0.0438167	0.0131938	0.0029923	0.00684685	0.00411592	0.00154562	0.0143407
u	0.330718	0.555507	0.0642351	0.0119432	0.00621711	0.00869485	0.00299924	0.00312965	0.016556
m	0.0251476	0.0471362	0.648146	0.120874	0.121102	0.0129019	0.0103684	0.000724017	0.0135991
á	0.0829233	0.0453046	0.334451	0.276075	0.236617	0.00920289	0.00794559	0.00024963	0.0072315
á	0.23225	0.0944952	0.195832	0.169967	0.198977	0.0650304	0.0152177	0.00257116	0.0256604
l	0.00909039	0.00892368	0.0574748	0.0682748	0.228989	0.560773	0.0305603	0.00799775	0.027916
á	0.0112515	0.00876734	0.0885125	0.11235	0.154985	0.432884	0.0615246	0.00679156	0.122933
m	0.0165849	0.011359	0.071975	0.368916	0.158191	0.202987	0.0677955	0.0167129	0.085479
b	0.0349112	0.0127421	0.114835	0.39719	0.214075	0.184202	0.0303568	0.00158943	0.0100994
í	0.0379084	0.0137706	0.102526	0.142526	0.239908	0.302907	0.0894098	0.00403842	0.0670058
w	0.00768859	0.00901817	0.120964	0.294812	0.287997	0.130238	0.076435	0.0037597	0.0690883
a	0.0131409	0.0147956	0.164659	0.319914	0.412612	0.0289735	0.0281992	0.00495434	0.0127513
a	0.00201957	0.00164898	0.046868	0.128992	0.347761	0.151762	0.218219	0.0204181	0.0823112
t	0.00484741	0.00800442	0.0305228	0.0163867	0.0839938	0.269839	0.350296	0.179743	0.0563673
ú	0.000692111	0.00226643	0.00858677	0.0329874	0.0557531	0.0504215	0.177902	0.443023	0.228368
n	0.000863581	0.000616898	0.00315575	0.00998615	0.0199795	0.0214304	0.0876187	0.548349	0.308
g	0.00587498	0.00692039	0.012286	0.0424103	0.0452842	0.172221	0.256074	0.346147	0.112782
u	0.00502965	0.013289	0.0153843	0.0598977	0.0206024	0.113701	0.195881	0.495004	0.0812105
á	0.000938969	0.000398513	0.00483644	0.00425999	0.0152119	0.0205845	0.320249	0.264538	0.368982
d	0.0085217	0.00176211	0.0107145	0.00879945	0.0250109	0.09821	0.338786	0.246619	0.261576
í	0.00533291	0.00130812	0.00486069	0.00733537	0.00452339	0.0215045	0.237602	0.16659	0.550943
a	0.00290054	0.000307775	0.00297813	0.00829837	0.0152978	0.0101471	0.202364	0.28601	0.471696
k	0.00804157	0.00253487	0.005346	0.00481116	0.0113248	0.0382779	0.140235	0.634317	0.155111
ω	0.000416191	0.00099371	0.00187378	0.00217201	0.00722533	0.0047479	0.0482546	0.832358	0.101958
ώ	0.000553199	0.000367074	0.000838465	0.000997633	0.00270453	0.00266496	0.0255305	0.604338	0.362005
</S>	0.0150849	0.00396278	0.0224619	0.0249673	0.0264447	0.016236	0.287971	0.221013	0.381858
