 	le	mal	de	ventre	de	cette	femme	s'	est	aggravé	</S>
o	0.313479	0.341312	0.164586	0.0262027	0.0696915	0.0283474	0.000967728	0.0330812	0.0200606	0.00177166	0.000500826
y	0.0662418	0.260804	0.153561	0.0879647	0.0258509	0.0171192	0.0355484	0.0173985	0.047989	0.269466	0.0180566
ú	0.0274214	0.112666	0.121529	0.214011	0.0784753	0.111285	0.296363	0.0103001	0.0158573	0.00274971	0.00934161
r	0.119526	0.220023	0.135604	0.273955	0.0391111	0.0938624	0.0376828	0.00549712	0.0218593	0.00723057	0.04565
u	0.316663	0.291801	0.171647	0.0842511	0.0360262	0.0646388	0.00397171	0.00452193	0.00563114	0.00514362	0.0157039
w	0.108966	0.0533988	0.47078	0.137356	0.0624559	0.070424	0.0242714	0.0251502	0.0241157	0.00147883	0.0216033
ó	0.153495	0.072268	0.110077	0.0770954	0.050993	0.0796122	0.0161074	0.140617	0.117615	0.0187943	0.163325
i	0.169049	0.0276275	0.142004	0.0788376	0.0728992	0.0781601	0.128416	0.125095	0.055817	0.00346752	0.118627
f	0.0286768	0.0173636	0.115233	0.442251	0.0886199	0.0364797	0.0609933	0.0428918	0.0675494	0.0258567	0.0740852
ú	0.01585	0.0109502	0.092503	0.350963	0.113398	0.0402075	0.110062	0.119196	0.0609304	0.0259943	0.0599448
n	0.0149604	0.010091	0.0675348	0.551168	0.102629	0.150083	0.0223504	0.0154013	0.0184727	0.00434351	0.0429661
d	0.0846157	0.0623785	0.0469244	0.411643	0.087275	0.257948	0.00559918	0.0140923	0.00629097	0.0019406	0.0212921
ú	0.117577	0.076484	0.0457693	0.426003	0.0876519	0.193215	0.0234256	0.00661633	0.00141314	0.00115778	0.0206874
b	0.0090348	0.0035219	0.0561116	0.0854707	0.317821	0.406443	0.00524882	0.0840995	0.0277862	0.000630804	0.00383146
v	0.0331923	0.0212389	0.0513709	0.118496	0.265702	0.111457	0.00808892	0.194413	0.0768707	0.00216494	0.117005
ú	0.00740838	0.00978771	0.014837	0.254873	0.286016	0.38025	0.00299773	0.022272	0.00628798	0.0013197	0.0139499
a	0.0120982	0.00877878	0.022986	0.137707	0.256417	0.340678	0.00616403	0.151818	0.0391588	0.0104591	0.013735
í	0.00234559	0.000650639	0.00836418	0.0126956	0.0634365	0.0486418	0.00618517	0.368979	0.465196	0.00361343	0.0198922
m	0.00575071	0.0016667	0.00936325	0.00575093	0.0148758	0.0276468	0.00334383	0.109025	0.793255	0.0154449	0.0138778
i	0.00593769	0.00340548	0.00525616	0.00631709	0.0174904	0.0311702	0.00961496	0.100232	0.683952	0.0654819	0.0711415
l	0.00320242	0.00247419	0.00306899	0.00920801	0.00403058	0.0102413	0.00750247	0.0179672	0.317929	0.57513	0.0492451
ó	0.000774814	0.00108576	0.00158966	0.00464863	0.00218701	0.00330048	0.00177685	0.00467835	0.0526314	0.859652	0.0676752
b	0.000437749	0.000363644	0.000485395	0.000849942	0.0021521	0.00630261	0.0004442	0.00514274	0.0298886	0.93678	0.0171531
h	0.000690193	0.000290965	0.000533477	0.000909915	0.00375065	0.00450844	7.8935e-05	0.00823804	0.014795	0.91763	0.0485746
o	0.00023494	8.30553e-05	0.00078632	0.0029285	0.00858399	0.00220428	0.000110677	0.00527333	0.00350148	0.900805	0.0754885
l	0.000353303	0.000303471	0.00212817	0.00617677	0.0199315	0.0203305	7.39051e-05	0.0367705	0.0292882	0.319471	0.565173
a	0.00182045	0.00232557	0.00592761	0.0196627	0.0231628	0.021351	0.000355214	0.0179864	0.0121222	0.492346	0.40294
</S>	0.00321879	0.000914264	0.00398503	0.0111923	0.0285992	0.0333497	0.000324419	0.0510113	0.0688371	0.0322763	0.766292
