 	le	bateau	remonte	le	fleuve	</S>
a	0.801698	0.1694	0.0143485	0.0140872	0.000277329	0.000189147
s	0.0448376	0.924256	0.0268602	0.00238714	0.0010611	0.000598221
ú	0.0541667	0.923829	0.0100135	0.00264266	0.00374549	0.00560269
a	0.0932608	0.880967	0.0095002	0.00439981	0.00442856	0.00744374
m	0.205774	0.0511521	0.149324	0.308881	0.0170647	0.267805
á	0.168086	0.0511505	0.0879106	0.0795211	0.462487	0.150845
a	0.242052	0.020084	0.115451	0.196536	0.346428	0.0794496
n	0.0270021	0.0187441	0.254948	0.162197	0.402992	0.134116
a	0.0119936	0.0589298	0.372889	0.178708	0.268096	0.109383
n	0.00627613	0.00556073	0.190153	0.129145	0.189096	0.47977
a	0.0152344	0.0124642	0.415115	0.297734	0.155069	0.104385
</S>	0.00661226	0.0012706	0.0568133	0.331665	0.080501	0.523138
