 	notre	village	est	situé	dans	les	collines	</S>
p	0.31107	0.581915	0.0515047	0.013495	0.0180964	0.0140907	0.00849367	0.00133413
o	0.00116724	0.983339	0.00109219	0.000272147	0.000279629	0.000577213	0.0132324	3.9858e-05
o	0.0015352	0.987247	0.00556572	0.0016152	0.00072303	0.000197141	0.00186502	0.00125212
y	0.726473	0.0612592	0.173418	0.0020128	0.0052016	0.00520598	0.000254628	0.0261748
á	0.354394	0.189872	0.328905	0.0412775	0.0246294	0.0211891	0.000733009	0.0389996
b	0.960045	0.00972992	0.0154698	0.00401032	0.00109437	0.00388966	0.00040178	0.00535907
í	0.997231	3.6051e-05	0.000678704	0.000930251	0.000294247	0.000696104	3.29644e-05	0.00010089
s	0.998492	0.000115255	0.000329038	0.000459817	0.000122588	0.000371791	9.65557e-06	9.97027e-05
í	0.825724	0.00190441	0.0216128	0.0196188	0.00484294	0.0591589	0.00023751	0.0669007
é	0.0350661	0.00352134	0.558984	0.114943	0.172806	0.0543579	0.00295075	0.0573714
d	0.00526601	0.00100545	0.273165	0.390141	0.274698	0.0367042	0.000803346	0.0182169
i	0.000774124	5.05881e-05	0.0659653	0.796613	0.0903278	0.0321503	7.95463e-05	0.0140396
s	0.00455764	0.000126774	0.114865	0.360741	0.374196	0.100813	0.01947	0.0252318
í	0.00336086	0.000205083	0.02952	0.609854	0.1726	0.108029	0.00537898	0.0710521
k	0.0116118	0.000836842	0.0393895	0.0762956	0.0959649	0.152496	0.38068	0.242726
o	0.000401648	0.000115999	0.000280032	0.00225725	0.0125947	0.00465232	0.966337	0.0133614
l	0.000207012	0.00430676	0.00641841	0.0143214	0.0597719	0.0139439	0.830733	0.0702981
o	0.000264126	0.00276924	0.014091	0.00462338	0.0674716	0.0891106	0.737721	0.0839488
</S>	0.00137554	0.000323985	0.01428	0.00261022	0.0474468	0.126865	0.196091	0.611007
