 	il	monte	sur	le	toit	de	la	maison	</S>
w	0.971386	0.0143574	0.00365617	0.00782491	0.001384	0.000246217	0.00104859	7.70318e-05	1.97675e-05
a	0.953975	0.00661918	0.0177186	0.0191182	0.000359103	0.000308334	0.00188483	9.57115e-06	6.86904e-06
l	0.650806	0.214027	0.0989763	0.0140712	0.00213659	0.0125554	0.00172344	0.000225647	0.00547809
á	0.109605	0.0584466	0.108265	0.0692179	0.0282838	0.0918261	0.0132994	0.00706033	0.513996
a	0.337357	0.0746859	0.101086	0.0994835	0.0457217	0.0870055	0.0371738	0.044527	0.172959
l	0.00559273	0.976575	0.0124572	0.000899069	0.00161071	0.000789128	9.31588e-05	0.000105254	0.00187782
é	0.00383937	0.982433	0.0113076	0.000872945	0.000347477	0.000465866	5.55956e-05	6.4781e-06	0.00067124
á	0.0169644	0.796463	0.157209	0.01196	0.00437903	0.00580356	0.000636256	0.000281715	0.0063026
i	0.0264269	0.0433735	0.695256	0.175687	0.0178857	0.0128873	0.0113164	0.00890713	0.00825998
k	0.00325553	0.151641	0.404469	0.337084	0.0796401	0.00798128	0.00221807	0.00899289	0.00471828
o	0.00187667	0.260237	0.325521	0.300718	0.0808279	0.021186	0.00266828	0.000698611	0.00626687
ó	0.00213209	0.106515	0.390889	0.446036	0.0255239	0.0184426	0.00371015	0.000303053	0.00644877
l	0.00540126	0.00526924	0.453278	0.474026	0.0220555	0.0240747	0.0031831	0.00106798	0.0116445
á	0.00254681	0.033075	0.284381	0.288407	0.0951773	0.0555361	0.0111064	0.0126713	0.2171
m	0.0209832	0.00395186	0.203123	0.35079	0.16795	0.059215	0.0453741	0.124388	0.0242244
w	0.00228688	0.000484428	0.0274376	0.118028	0.799682	0.0310656	0.00624232	0.000895667	0.0138775
a	0.000928191	0.000103281	0.00397882	0.0482145	0.932418	0.00808066	0.00271162	0.0019294	0.00163583
n	0.00479886	0.00247484	0.0409209	0.650278	0.258089	0.0355294	0.00312854	0.00039673	0.00438349
d	0.00926703	0.0125907	0.0381323	0.159598	0.651729	0.0540582	0.0104679	0.00757181	0.0565854
z	0.00101754	0.00131677	0.0121242	0.103902	0.795173	0.0293811	0.00875208	0.0128721	0.0354609
á	0.000722575	0.000321729	0.00724516	0.105789	0.746162	0.0633364	0.0164494	0.0193113	0.0406622
m	0.00208789	0.000897358	0.0413462	0.0965229	0.0870138	0.582653	0.0406831	0.0300391	0.118757
á	0.0067852	0.000458985	0.0597501	0.0843768	0.108531	0.324502	0.205764	0.00854011	0.201293
n	0.00959475	0.00167039	0.0306264	0.0576534	0.0725816	0.136485	0.189854	0.486066	0.015469
d	0.000199912	7.23169e-05	0.000625925	0.00186844	0.00235503	0.00806106	0.0366552	0.945837	0.00432459
é	0.000248079	0.000104906	0.00105385	0.00207649	0.0128019	0.0212654	0.0678466	0.859773	0.0348296
e	4.56144e-05	0.000298418	0.00566451	0.0133495	0.019963	0.18169	0.198644	0.338899	0.241446
</S>	0.000724944	0.000362548	0.0130722	0.00993657	0.00198442	0.286205	0.200226	0.025795	0.461693
