 	les	assaillants	de	ma	mère	étaient	six	contre	elle	</S>
a	0.690598	0.267083	0.0264741	0.0055564	0.00622289	0.00171448	0.00118777	0.00113576	2.01091e-05	7.67445e-06
k	0.281243	0.675596	0.0158925	0.000630018	0.0146566	0.00434118	0.00305301	0.00228017	0.00116212	0.00114522
ó	0.0341611	0.911965	0.0362449	0.00238575	0.000584451	0.0027217	0.00546415	0.00238782	0.00128244	0.0028028
n	0.0407181	0.834752	0.0527574	0.00147765	0.00402074	0.0090844	0.0192393	0.0100789	0.00174018	0.026131
y	0.281694	0.50964	0.0928205	0.00626021	0.00494666	0.0133798	0.0190829	0.0083115	0.00282301	0.0610413
i	0.11666	0.226045	0.0959165	0.00349376	0.00488533	0.0418334	0.063435	0.0274538	0.0415361	0.37874
i	0.143964	0.0764395	0.713602	0.0278998	0.0100343	0.0129521	0.00404698	0.00315791	0.00107284	0.00683025
n	0.0977392	0.0592247	0.486683	0.0815988	0.0556874	0.0919016	0.0300925	0.00827462	0.00672146	0.0820766
g	0.0242188	0.0277451	0.161753	0.425411	0.349387	0.0029862	0.00099471	0.00179543	0.00044192	0.00526607
ó	0.00565244	0.0656796	0.135798	0.118542	0.66681	0.0020273	0.00121017	0.00197953	0.000342354	0.00195821
o	0.00953129	0.0667028	0.134961	0.21427	0.541658	0.0082293	0.00468435	0.0140635	0.00175365	0.00414583
y	0.0231127	0.0196434	0.383619	0.274219	0.0243371	0.212374	0.0361838	0.0218442	0.00293574	0.00173115
a	0.069276	0.00870878	0.135699	0.711426	0.0130895	0.0426556	0.00230174	0.00644134	0.00586863	0.00453396
n	0.0151255	0.00255752	0.0802725	0.840983	0.00887831	0.035217	0.00600397	0.00615383	0.00356632	0.0012423
g	0.00110454	0.00724005	0.0432001	0.817344	0.106017	0.00801429	0.00566423	0.0066418	0.000766365	0.00400747
á	0.00283033	0.0181452	0.210218	0.361609	0.249897	0.0369574	0.0172877	0.036283	0.0063964	0.0603758
á	0.00278434	0.00277711	0.0830287	0.0870755	0.0194655	0.594058	0.0874853	0.0871895	0.0263864	0.00974949
d	0.0060016	0.00650252	0.00797362	0.00505608	0.00663102	0.335556	0.354904	0.144761	0.0281367	0.104477
z	0.00684695	0.0002371	0.00539404	0.0137018	0.000294485	0.292651	0.111306	0.0645011	0.0223054	0.482763
e	0.0103325	0.000793188	0.02492	0.135754	0.000847499	0.451971	0.0894888	0.0826159	0.0647132	0.138564
o	0.00575691	0.00103572	0.0312077	0.0350308	0.000623843	0.153188	0.323167	0.311812	0.044841	0.093337
t	0.00449818	0.0108376	0.00316298	0.00255787	0.000855995	0.0686259	0.410987	0.319319	0.0724527	0.106702
ó	0.000387843	0.00613503	0.00148222	9.11988e-05	0.000241151	0.0268504	0.50638	0.11284	0.167816	0.177776
b	8.18308e-05	0.0010403	0.000376801	0.00012258	0.000116422	0.0246192	0.444052	0.229406	0.0897483	0.210436
h	0.000914544	0.00071475	0.00106597	0.00102209	1.07884e-05	0.0324949	0.38718	0.108237	0.0659334	0.402426
á	0.000451953	0.00132235	0.00155226	0.00209022	3.40109e-05	0.0221768	0.318383	0.112371	0.0952536	0.446364
</S>	0.00288425	0.00113455	0.0193699	0.00637294	7.83065e-05	0.0704869	0.0444998	0.116018	0.300619	0.438536
