 	il	attire	les	animaux	au	piège	avec	un	remède	</S>
w	0.80841	0.0456646	0.0204449	0.0393554	0.0374989	0.0317861	0.00827221	0.0065963	0.00190449	6.73206e-05
a	0.812191	0.0201036	0.022395	0.0164123	0.0467116	0.0314728	0.00734256	0.0136029	0.0297043	6.39223e-05
l	0.102261	0.617569	0.0988228	0.0390815	0.0369777	0.0119789	0.0203117	0.020727	0.00403382	0.0482364
á	0.0399413	0.187305	0.151668	0.0643041	0.076561	0.0088047	0.079132	0.0359256	0.0230219	0.333337
a	0.189359	0.200493	0.202386	0.0795623	0.0600825	0.0107515	0.0540246	0.039478	0.0778965	0.0859674
p	0.0142647	0.792425	0.135092	0.0199723	0.00691467	0.00699774	0.00385254	0.00436608	0.00128896	0.0148267
έ	0.0064694	0.807957	0.131857	0.0100817	0.00881	0.0123217	0.00405246	0.00332594	0.000555768	0.0145691
a	0.0684932	0.115839	0.258437	0.309031	0.0925138	0.0160592	0.0239766	0.0163762	0.012614	0.0866605
n	0.00646546	0.0135464	0.182387	0.554126	0.16912	0.035774	0.0124359	0.00904728	0.00519525	0.0119024
y	0.00111433	0.00250167	0.0623674	0.896444	0.0227057	0.000592735	0.00320305	0.00141342	0.0036062	0.00605161
a	0.000128973	0.00127952	0.0162341	0.96571	0.0104955	0.00112303	0.00159358	0.000748714	0.00104186	0.00164436
m	0.000881187	0.0188035	0.0751872	0.342971	0.261039	0.137022	0.0596877	0.0390713	0.0250285	0.0403087
a	0.0184296	0.0146449	0.130632	0.418819	0.249564	0.047182	0.0667998	0.017269	0.00516402	0.0314956
p	0.00128413	0.0065849	0.0602595	0.0643593	0.349043	0.273313	0.138145	0.0648159	0.00889256	0.0333025
ó	0.0183027	0.0183019	0.0323981	0.0261016	0.131376	0.395871	0.157107	0.0841018	0.035678	0.100763
s	0.000392267	0.00869152	0.0152056	0.00855277	0.0504638	0.533653	0.209532	0.0806318	0.0429783	0.0498988
á	0.000501618	0.0125089	0.0130111	0.0117305	0.047278	0.557209	0.144036	0.0813707	0.0878573	0.0444964
ω	0.0019807	0.00272576	0.00732606	0.0104847	0.0596289	0.180892	0.308968	0.237117	0.120644	0.0702324
y	0.000463753	0.0184061	0.0164685	0.00719643	0.0211454	0.112602	0.223037	0.425897	0.132661	0.0421227
a	0.000321939	0.021587	0.0226546	0.0252934	0.0208257	0.0214275	0.130794	0.514127	0.128622	0.114346
a	0.000252858	0.00243516	0.0189905	0.0163143	0.0314846	0.0185787	0.182259	0.303782	0.0601368	0.365766
m	0.000212132	0.000997911	0.00459475	0.00330855	0.0176208	0.0122732	0.150416	0.274897	0.141465	0.394214
ó	0.00298218	0.0172584	0.0980994	0.0113545	0.0672427	0.0132605	0.162374	0.328349	0.0824615	0.216618
b	0.00165467	0.00486449	0.0282879	0.00882021	0.029803	0.0441804	0.106452	0.218299	0.438402	0.119237
ó	0.00560627	0.00563754	0.0280254	0.00408638	0.0543999	0.201147	0.0811976	0.182481	0.37333	0.0640894
y	0.000640025	0.00235273	0.00688125	0.00189672	0.0245135	0.119617	0.130403	0.141654	0.298298	0.273744
a	0.00103368	0.019809	0.0137821	0.00888865	0.0252208	0.0436064	0.147327	0.211586	0.251424	0.277323
m	0.000898777	0.00383548	0.00884805	0.00417177	0.0185894	0.0109461	0.074486	0.151445	0.197185	0.529595
ó	0.0029913	0.014963	0.0917421	0.0210068	0.0626935	0.0112109	0.125898	0.26165	0.118776	0.289068
ω	0.00388936	0.00530346	0.0293413	0.0114398	0.0408698	0.0376594	0.0502328	0.0921527	0.592838	0.136274
n	0.000409633	0.0175764	0.0636242	0.0112804	0.0222022	0.0590287	0.0404276	0.228447	0.283592	0.273412
g	0.000603956	0.00500339	0.0464853	0.0890158	0.0178331	0.00474604	0.0538722	0.0767116	0.415015	0.290713
a	6.54243e-05	0.00256821	0.012008	0.0911203	0.0236231	0.00766673	0.0479019	0.0786244	0.490242	0.24618
n	5.73414e-06	0.0002017	0.00120206	0.00542571	0.00410609	0.0022847	0.0378019	0.0724054	0.521454	0.355112
g	0.000377321	0.00347746	0.0132077	0.0333459	0.0152914	0.0150182	0.0461236	0.132336	0.334503	0.406319
a	0.000913778	0.000614249	0.00339575	0.0106525	0.0216492	0.00974321	0.0993079	0.07121	0.308864	0.47365
</S>	0.00177357	0.00352219	0.0162609	0.019952	0.0311233	0.0169659	0.0605155	0.118029	0.372724	0.359135
