 	le	fil	indigène	fabriqué	avec	l'	écorce	de	la	liane	lekosa	est	résistant	</S>
o	0.457848	0.484084	0.022416	0.00466055	0.00443095	0.0025678	0.000433303	0.00349589	0.00428452	0.00785053	0.00451374	0.00322496	8.80634e-05	0.000101665
k	0.0268443	0.894368	0.0596046	0.00328292	0.00114015	0.000461242	0.000314347	0.000710324	0.00164005	0.0016708	0.00292669	0.00123979	0.0046914	0.00110538
u	0.0408073	0.504438	0.0823427	0.0249295	0.0195295	0.00774789	0.0292512	0.0204825	0.0529552	0.0812672	0.0882035	0.00976305	0.024577	0.0137052
s	0.0130042	0.487909	0.0630701	0.00361859	0.00509623	0.00419868	0.0048271	0.0109248	0.0481863	0.0562341	0.21305	0.00362386	0.0621381	0.0241185
u	0.190571	0.151758	0.0268487	0.00666149	0.0138244	0.010635	0.00131511	0.0365369	0.0826484	0.303591	0.154564	0.0124762	0.00673074	0.00183958
m	0.337126	0.0687962	0.0592514	0.164266	0.0632012	0.0343103	0.026777	0.0394114	0.0178527	0.0262045	0.0265519	0.0493117	0.0131971	0.0737418
ó	0.382782	0.0393475	0.0831413	0.147209	0.104483	0.098386	0.00555444	0.0419772	0.0239378	0.0212673	0.00228765	0.033526	0.000406604	0.0156939
ó	0.256339	0.0512637	0.0716323	0.360331	0.085506	0.0466457	0.0246279	0.0126708	0.0153294	0.0140258	0.0092243	0.0122412	0.00278568	0.0373774
n	0.0263032	0.0496218	0.378009	0.220854	0.140905	0.0778809	0.0339793	0.0105923	0.0113569	0.00412774	0.00993967	0.00963982	0.00237528	0.0244164
y	0.0140545	0.203032	0.213692	0.357863	0.0546171	0.0636067	0.0103451	0.00835695	0.0117629	0.00533916	0.00167258	0.00447721	0.000552721	0.0506281
i	0.0137595	0.0712373	0.186848	0.549711	0.059502	0.0632487	0.00810453	0.00608459	0.0222014	0.0128402	0.000759323	0.00165419	0.000268237	0.00378045
á	0.00300045	0.0250341	0.237562	0.469449	0.0547663	0.0833805	0.0375411	0.0104245	0.0240171	0.0187414	0.00287936	0.00280792	0.00133604	0.02906
b	0.0162434	0.00233454	0.0136653	0.173867	0.319296	0.280324	0.0798712	0.0527391	0.0157286	0.00792095	0.00407595	0.0178571	0.00344297	0.012634
á	0.0187147	0.00497706	0.0209181	0.113006	0.288756	0.0983983	0.220448	0.0776138	0.0536258	0.030635	0.0308293	0.0294129	0.000909857	0.011756
a	0.00696911	0.00215155	0.00615632	0.0639833	0.170219	0.127312	0.28515	0.0848083	0.0626603	0.0444108	0.0373659	0.0391993	0.00722664	0.0623878
m	0.00252569	0.00281991	0.0136089	0.0253826	0.102813	0.173449	0.211442	0.174126	0.106197	0.0367625	0.0772034	0.0290087	0.00697262	0.0376882
ó	0.013441	0.0139431	0.00595661	0.00894656	0.103245	0.196535	0.0545431	0.201758	0.170895	0.0545534	0.0462221	0.06574	0.00508627	0.0591352
l	0.00846598	0.0115157	0.00685985	0.0182555	0.0376578	0.0904044	0.0975892	0.143998	0.224881	0.159827	0.140164	0.0315997	0.00453697	0.0242442
e	0.00629434	0.00850132	0.0159978	0.0209255	0.0305088	0.0651285	0.0994552	0.146612	0.196345	0.0996498	0.0298965	0.0438086	0.00954344	0.227333
